"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENSEMBL","Symbol"
"Dapma7bEVm000046",34.3826911865447,-1.47083521594626,0.339754235198639,-4.3291151766992,1.49709625965876e-05,0.00332379516358111,NA,""
"Dapma7bEVm000061",344.232533137368,0.531961894757016,0.105317594876843,5.0510258554526,4.3944357721061e-07,0.000403262722686936,"ENSG00000081803","CADPS2"
"Dapma7bEVm000062",401.035408730939,0.27480563893883,0.0797507096238804,3.44580807161298,0.000569354579161755,0.0294630292562464,"ENSG00000103091","WDR59"
"Dapma7bEVm000072",481.375316259348,0.821563248212152,0.245198822777078,3.35060029614854,0.000806366022652054,0.0365119352033077,NA,""
"Dapma7bEVm000096",1475.2122669408,0.425704680229178,0.123306748000431,3.45240375837088,0.000555615643999766,0.029080035512003,"ENSG00000081237","PTPRC"
"Dapma7bEVm000112",62.7114874519154,-1.45048782879957,0.381944762044565,-3.79763770298892,0.00014608162676422,0.0127266683063892,"ENSG00000149328","GLB1L2"
"Dapma7bEVm000121",366.763393159867,0.405655326223441,0.116842116705153,3.47182452408918,0.000516934111240717,0.0274733515105346,"ENSG00000198399","ITSN2"
"Dapma7bEVm000147",21.6608683826653,-1.43455892337708,0.395687622863477,-3.62548343816163,0.000288421381799053,0.0187336927496928,NA,""
"Dapma7bEVm000188",42.501100454294,-1.50029889040706,0.440829097483557,-3.40335721705172,0.000665631933173543,0.0328640040918728,"ENSG00000118777","ABCG2"
"Dapma7bEVm000190",319.443169588947,-0.90969187148847,0.216615806798978,-4.19956366495762,2.67429830436067e-05,0.00486705798461688,"ENSG00000049860","HEXB"
"Dapma7bEVm000195",148.454372525702,-0.767483349134938,0.18179372939017,-4.2217261932492,2.42438500607805e-05,0.00470023374769921,"ENSG00000183044","ABAT"
"Dapma7bEVm000243",47.722935640394,-1.43792297309296,0.37085250161827,-3.87734467697634,0.000105602702271083,0.0111817015135496,"ENSG00000172824","CES4A"
"Dapma7bEVm000244",928.754458605532,0.391731975923889,0.0747118006818833,5.24324099203352,1.5778024009644e-07,0.000206639884629041,"ENSG00000085719","CPNE3"
"Dapma7bEVm000250",45.5813747012562,-1.36940310658185,0.280952400810108,-4.87414630604066,1.092799818769e-06,0.000654016935015446,NA,""
"Dapma7bEVm000253",265.136669708012,-1.6873971724062,0.485317810832452,-3.47689109021542,0.000507263824348611,0.027382300165328,"ENSG00000080618","CPB2"
"Dapma7bEVm000255",1367.0504792387,-0.339421382539105,0.0937846404320543,-3.619157475845,0.000295563743974693,0.018826933448074,"ENSG00000104537","ANXA13"
"Dapma7bEVm000320",118.984724494916,-1.52821166176954,0.399548076745265,-3.82485050164281,0.000130851464604812,0.012172014389679,"ENSG00000115850","LCT"
"Dapma7bEVm000325",179.459580492872,-0.562827668483292,0.171497770127983,-3.2818366563208,0.00103133329549445,0.0418769994468468,"ENSG00000151470","C4orf33"
"Dapma7bEVm000390",73.7189394001282,-1.2030722514663,0.353787655059065,-3.40054898542304,0.000672506852579473,0.0329432627251119,"ENSG00000072274","TFRC"
"Dapma7bEVm000393",45.4945209457137,-1.25283686373323,0.240431700221954,-5.21078070228126,1.88047626122029e-07,0.000206639884629041,"ENSG00000188611","ASAH2"
"Dapma7bEVm000399",374.952948378864,-0.28990576421598,0.0867160347643256,-3.34316213839664,0.000828294885479582,0.0371371522606042,"ENSG00000161533","ACOX1"
"Dapma7bEVm000412",36.3853913204972,-0.791601535790017,0.243654664550277,-3.2488667403561,0.00115865743980615,0.0448459876538562,NA,""
"Dapma7bEVm000432",625.741135733764,-1.53578708560572,0.294358307536041,-5.2174069706447,1.81445302508353e-07,0.000206639884629041,"ENSG00000114113","RBP2"
"Dapma7bEVm000459",175.370781703818,0.392126880396737,0.118599646450465,3.30630733001819,0.000945343386423994,0.0397657099037987,"ENSG00000065413","ANKRD44"
"Dapma7bEVm000463",159.199026501861,-1.31314665517091,0.372427747470984,-3.52590982838413,0.000422030636158736,0.0238084086341189,"ENSG00000072657","TRHDE"
"Dapma7bEVm000474",296.367293666848,-1.00778414874468,0.306678901024068,-3.28612156030122,0.00101577163601796,0.0414899008005555,"ENSG00000033627","ATP6V0A1"
"Dapma7bEVm000517",220.375534186444,0.439626182989623,0.119849045963521,3.66816589531663,0.00024429666034223,0.0173337295340762,"ENSG00000011083","SLC6A7"
"Dapma7bEVm000535",198.355810983691,-1.80661978571767,0.36074507301784,-5.0080234515866,5.4991835604003e-07,0.000437108738376495,"ENSG00000101670","LIPG"
"Dapma7bEVm000539",39.0308832279355,-1.32168458009336,0.393412931161339,-3.35953517387394,0.000780737119273988,0.0359780810866612,"ENSG00000164073","MFSD8"
"Dapma7bEVm000551",74.4881078092504,-0.907926486880639,0.226220826173956,-4.01345226359695,5.98371080789012e-05,0.00791978646832765,"ENSG00000145476","CYP4V2"
"Dapma7bEVm000556",216.415564968979,-0.892752291856069,0.233410816124196,-3.82481114920161,0.00013087236684871,0.012172014389679,"ENSG00000115850","LCT"
"Dapma7bEVm000566",216.641394944424,-1.3470800337883,0.343543154629881,-3.9211377541188,8.81318602539494e-05,0.0100000102270313,NA,""
"Dapma7bEVm000577",151.227008149116,-1.15563207685389,0.246470147552552,-4.68873041351786,2.7490526227207e-06,0.000995808140835537,NA,""
"Dapma7bEVm000590",159.493417827127,-2.12419979307045,0.490304171753719,-4.33241223600569,1.47484461403855e-05,0.00332379516358111,"ENSG00000182853","VMO1"
"Dapma7bEVm000593",455.691691869266,-0.7641076618484,0.233832678550844,-3.26775396229426,0.00108404559369384,0.0433775802244062,"ENSG00000110799","VWF"
"Dapma7bEVm000608",727.590595621901,-0.466813863022646,0.138951002570895,-3.35955735752586,0.000780674439175514,0.0359780810866612,"ENSG00000109654","TRIM2"
"Dapma7bEVm000715",132.732886776322,-0.765490478916895,0.226497873531752,-3.3796806432692,0.000725700999249524,0.034687574295617,"ENSG00000145476","CYP4V2"
"Dapma7bEVm000726",475.290698878739,0.540067557458136,0.149679286813001,3.60816495693795,0.000308370410868016,0.0192068719710328,"ENSG00000103876","FAH"
"Dapma7bEVm000758",34.8669931161262,-1.73175363429714,0.450660093445792,-3.84270464477113,0.000121685875087871,0.0117958173984827,NA,""
"Dapma7bEVm000809",40.2175661792492,-1.75211810817244,0.467535956211773,-3.74755798969782,0.0001785645624083,0.0144584776561779,"ENSG00000072657","TRHDE"
"Dapma7bEVm000850",187.092807893214,-1.3449593156975,0.355225529812497,-3.78621242793958,0.000152960926414878,0.0131559240229401,"ENSG00000174876","AMY1B"
"Dapma7bEVm000855",101.069572628164,-1.43462985952747,0.435073392655103,-3.29744333656539,0.000975693594614778,0.0405752940479529,NA,""
"Dapma7bEVm000889",223.094569312083,0.413103560519939,0.111465892059552,3.70609836683703,0.000210476580700571,0.0160956118519075,NA,""
"Dapma7bEVm000918",91.2281718880027,-0.93405404740261,0.265006178120743,-3.52465008184463,0.000424042528701429,0.0238242669696946,NA,""
"Dapma7bEVm000967",308.017338549609,0.473572665545857,0.120653901002879,3.92505059189554,8.67115120632837e-05,0.0100000102270313,"ENSG00000149547","EI24"
"Dapma7bEVm000974",47.5094572637112,-1.41052438297844,0.366903453059697,-3.84440203878086,0.000120846746588382,0.0117958173984827,NA,""
"Dapma7bEVm001081",520.348364536371,-0.352079081450942,0.0952012393044827,-3.69826153549205,0.000217081157301236,0.0163285362308826,"ENSG00000109323","MANBA"
