"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENSEMBL","Symbol"
"Dapma7bEVm000001",365.632652210658,0.152921091504174,0.0980904582471678,1.55898029468722,0.119001044153809,0.453951034858694,"ENSG00000171587","DSCAM"
"Dapma7bEVm000002",1304.98790855677,-0.194513752344288,0.196045033783247,-0.992189134254469,0.321105271942555,0.649501182468534,NA,""
"Dapma7bEVm000003",95.4371727201943,-0.595268365801521,0.263996962224963,-2.25483036162464,0.0241439787448581,0.236515490176762,"ENSG00000077942","FBLN1"
"Dapma7bEVm000004",69.1720045683963,0.0861142272999277,0.312408619044311,0.275646131541952,0.782819873902261,0.916454347184635,"ENSG00000004139","SARM1"
"Dapma7bEVm000005",185.501787164651,-0.403051801174988,0.277389512994056,-1.45301744404311,0.146218910736813,0.488217765995047,"ENSG00000113569","NUP155"
"Dapma7bEVm000006",574.855908405935,-0.188995967441406,0.097597703740435,-1.93647965267757,0.0528089822472901,0.330491155472797,"ENSG00000107863","ARHGAP21"
"Dapma7bEVm000008",1067.60525402244,0.0503625966197341,0.101403983276146,0.496653040567307,0.619433742821676,0.83750105124316,"ENSG00000142599","RERE"
"Dapma7bEVm000009",1575.62934420542,-0.0196363299247428,0.0843929020405012,-0.232677505453232,0.816011837893761,0.930247704649195,"ENSG00000102385","DRP2"
"Dapma7bEVm000010",1104.87410391562,-0.125909853396058,0.101010791008715,-1.24649903380317,0.212581243705287,0.552091219519711,NA,""
"Dapma7bEVm000011",1819.45486890075,-0.708856726649785,0.341159764003697,-2.07778525325192,0.0377291426645041,0.286722231242494,NA,""
"Dapma7bEVm000012",1229.01993251765,-0.694788833179306,0.280137285555685,-2.48017264749714,0.0131318781558698,0.177316564528757,"ENSG00000100014","SPECC1L"
"Dapma7bEVm000013",411884.092515466,-0.106225850558408,0.191636062564222,-0.554310337715318,0.579366476639024,0.81640813075467,NA,""
"Dapma7bEVm000014",383.968627442258,0.153431366460258,0.10591945045098,1.44856648903467,0.147458685320849,0.489319403190509,"ENSG00000009694","TENM1"
"Dapma7bEVm000015",332.66725873031,0.194892378803263,0.162998299603344,1.19567123876465,0.23182487930789,0.570031699818502,"ENSG00000056097","ZFR"
"Dapma7bEVm000016",906.768417717688,-0.45472681514303,0.193650586051015,-2.34818197257218,0.0188653020060954,0.210425782404372,"ENSG00000110090","CPT1A"
"Dapma7bEVm000017",578.771562450733,-0.0513352099394243,0.089271596655436,-0.575045276019474,0.565260676772074,0.808827455704375,"ENSG00000104067","TJP1"
"Dapma7bEVm000018",1110.05335065494,0.0384515314058675,0.0936966794593986,0.410383074701486,0.681524960066433,0.869352389308508,"ENSG00000075702","WDR62"
"Dapma7bEVm000019",703.172293276187,-0.1503388050004,0.0843291022194089,-1.78276302063843,0.0746248877414376,0.378402002201098,"ENSG00000065243","PKN2"
"Dapma7bEVm000020",606.893923209768,0.349650853686097,0.148556328858178,2.35365841612779,0.0185896848996038,0.208673162647819,"ENSG00000124181","PLCG1"
"Dapma7bEVm000021",830.012835194149,-0.125275802290342,0.0703565495182524,-1.78058479485044,0.0749803055724536,0.378715615004808,"ENSG00000014216","CAPN1"
"Dapma7bEVm000022",1572.52962140954,-0.0487914849372002,0.111010679666313,-0.439520639670547,0.660284330117546,0.85923893602928,NA,""
"Dapma7bEVm000023",465.383348267237,-0.0104623713914386,0.128811315490031,-0.0812224558971163,0.935265041291144,0.97791340076116,"ENSG00000105926","PALS2"
"Dapma7bEVm000024",169.145254335169,0.111885996198016,0.160898278230438,0.695383427520418,0.486815043524424,0.762624356788371,NA,""
"Dapma7bEVm000025",254.031882574176,-0.0280420154152344,0.167650946970859,-0.167264282856145,0.86716210633673,0.949966578293898,NA,""
"Dapma7bEVm000026",169.890077720127,0.019105354936877,0.158226489936355,0.120746879644249,0.903891526031099,0.965151476749714,NA,""
"Dapma7bEVm000027",151.189404624645,-0.14851453507679,0.258009115002918,-0.575617396598994,0.564873819686275,0.808672696796768,"ENSG00000004846","ABCB5"
"Dapma7bEVm000028",241.704485931676,0.00762823908075106,0.106964392220959,0.0713156866725634,0.943146510857974,0.980125373531267,"ENSG00000076864","RAP1GAP"
"Dapma7bEVm000029",1288.92842647723,0.00241119249678397,0.0636343662792476,0.0378913571041614,0.969774304133774,0.990352869610281,"ENSG00000006534","ALDH3B1"
"Dapma7bEVm000030",611.06407682979,0.386156827903019,0.121726984827218,3.17231900922494,0.00151226788880556,0.0564982738127343,"ENSG00000167280","ENGASE"
"Dapma7bEVm000031",499.000799081767,-0.0804000423881852,0.0946855243724992,-0.849127075347716,0.395810585998595,0.704661101659859,"ENSG00000024048","UBR2"
"Dapma7bEVm000032",846.350710033559,-0.00473143664602749,0.0926681500180048,-0.0510578515391557,0.959279421758426,0.98679769177512,NA,""
"Dapma7bEVm000033",166.362325394084,0.375248184005867,0.138454148129334,2.71027043303416,0.00672283691224932,0.12807327531148,"ENSG00000058063","ATP11B"
"Dapma7bEVm000034",562.637129800824,0.125355814413378,0.120701008283554,1.03856476591221,0.299007199488068,0.634260303797769,NA,""
"Dapma7bEVm000035",878.116202372426,0.182822738789882,0.0961643864024687,1.90114808225084,0.0572826191676927,0.338906126841332,"ENSG00000088247","KHSRP"
"Dapma7bEVm000036",205.053075178228,0.00579705857209876,0.166316609116282,0.0348555601446015,0.972194916929036,0.991342007691286,NA,""
"Dapma7bEVm000037",110.877285121813,-0.143314677499075,0.234344661408209,-0.611555119872915,0.540832139379142,0.797213903176947,"ENSG00000066044","ELAVL1"
"Dapma7bEVm000038",318.137641553643,-0.553549039501984,0.206991791785166,-2.6742559921241,0.00748952568689751,0.137019546607019,NA,""
"Dapma7bEVm000039",782.735243414998,-0.343092534322492,0.224431268493356,-1.52871984650681,0.126333910095677,0.463210557645931,"ENSG00000091536","MYO15A"
"Dapma7bEVm000040",509.507238873602,-0.0530109525380853,0.112416205319713,-0.471559704291045,0.637241094608212,0.847234695105747,NA,""
"Dapma7bEVm000041",731.379549372692,0.0701105075591822,0.0895218796178017,0.783166169639277,0.433529538319482,0.728370063850307,"ENSG00000008323","PLEKHG6"
"Dapma7bEVm000042",74.5681189125256,-0.0525199532872988,0.175678673522759,-0.298954632535377,0.764974661350672,0.90814952874322,NA,""
"Dapma7bEVm000043",694.02640166949,-0.457025609702819,0.314786359874068,-1.45185963548629,0.146540637999275,0.488571542340874,NA,""
"Dapma7bEVm000044",376.297902029263,0.0870718911763714,0.0985195272714702,0.88380337977511,0.376802361608538,0.690834471853839,NA,""
"Dapma7bEVm000045",2097.63684703963,-0.114727540773609,0.0821234388009309,-1.39701335512399,0.162409555085187,0.502938601493244,"ENSG00000105953","OGDH"
"Dapma7bEVm000047",77.1498265559527,0.317404855671463,0.240052886042466,1.32222886758093,0.186091951108313,0.527428267617848,NA,""
"Dapma7bEVm000048",6443.04745497484,-0.103765306128597,0.144239257968127,-0.71939711553096,0.471896273599202,0.753748185537743,"ENSG00000155657","TTN"
"Dapma7bEVm000049",154.700714051119,0.255828424959866,0.176565923463485,1.44891165827235,0.147362254965477,0.489319403190509,NA,""
"Dapma7bEVm000051",187.181073160363,0.215952298486998,0.127617041630188,1.69219013172856,0.0906097274833906,0.408444316994852,"ENSG00000151062","CACNA2D4"
"Dapma7bEVm000052",465.641959408498,0.0522789401563886,0.120095825582867,0.435310219174235,0.663337268235074,0.860693973849555,"ENSG00000058404","CAMK2B"
"Dapma7bEVm000053",734.64954490369,0.268922425911286,0.127559835229243,2.10820612481974,0.0350131637313976,0.277138176167207,NA,""
"Dapma7bEVm000054",386.668751400373,-0.0110434981742295,0.0829238069162843,-0.133176449380555,0.894053835595033,0.960199728403388,"ENSG00000135972","MRPS9"
"Dapma7bEVm000055",5028.19035984197,-0.31432576758287,0.133936732584938,-2.34682272380757,0.0189342610529377,0.210902180590359,"ENSG00000128591","FLNC"
"Dapma7bEVm000056",898.218235714647,0.0643732524448713,0.0784617736478793,0.820440954263481,0.411964776625828,0.715324032870297,"ENSG00000105270","CLIP3"
"Dapma7bEVm000057",256.798460625944,0.342191889639287,0.180412878386721,1.89671542685432,0.0578655065348083,0.339460403811409,"ENSG00000081248","CACNA1S"
"Dapma7bEVm000058",1354.38461024558,-0.419923084070379,0.186456551593803,-2.25212297707396,0.0243145016588549,0.237452157296888,NA,""
"Dapma7bEVm000059",696.32612588515,0.0371812048949,0.0725986983773149,0.512146990592852,0.608548139407183,0.832512343311224,"ENSG00000072415","PALS1"
"Dapma7bEVm000060",764.664662678017,0.269063984822132,0.13537505391166,1.9875448027353,0.0468620561563466,0.315935172300338,"ENSG00000143498","TAF1A"
"Dapma7bEVm000061",344.232533137368,0.531961894757016,0.105317594876843,5.0510258554526,4.3944357721061e-07,0.000409716511693421,"ENSG00000081803","CADPS2"
"Dapma7bEVm000062",401.035408730939,0.27480563893883,0.0797507096238804,3.44580807161298,0.000569354579161755,0.0323450540491535,"ENSG00000103091","WDR59"
"Dapma7bEVm000063",255.660268527762,-0.828982652811221,0.355758172093016,-2.33018583363554,0.0197963313847244,0.215170086965742,NA,""
"Dapma7bEVm000064",776.795461553132,-0.0542162028815386,0.0923754486566296,-0.586911389010587,0.557263220385873,0.805322982548883,"ENSG00000078098","FAP"
"Dapma7bEVm000065",257.789914796355,0.0586382885171433,0.126999000810395,0.461722439885084,0.644280376866526,0.85070342996788,NA,""
"Dapma7bEVm000066",102.367902029286,-0.901949382667123,0.364460583672563,-2.47475151792394,0.0133328902817814,0.17817071702535,"ENSG00000174876","AMY1B"
"Dapma7bEVm000067",529.388962153955,0.167566519023394,0.0996583909933476,1.68140903493595,0.0926834918087664,0.411327488558344,"ENSG00000077147","TM9SF3"
"Dapma7bEVm000068",776.549117544658,0.0664916787052434,0.0809903316625539,0.820982916606404,0.411655999072996,0.715324032870297,"ENSG00000021488","SLC7A9"
