"","Control","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12"
"Dapma7bEVm000001","8.402915","8.515445","8.419717","8.482829","8.558459","8.417924","8.411085","8.469748","8.394926","8.687282","8.500689","8.613080","8.661250"
"Dapma7bEVm000002","10.605086"," 9.923840","10.308664","10.176342","10.257764","10.056271","10.386855","10.388321"," 9.877956","10.527654","10.476467","10.463657","10.220431"
"Dapma7bEVm000003","7.123421","6.479311","6.186757","6.314588","6.423839","6.365378","6.346492","6.682402","6.573151","6.364557","5.978474","6.365113","6.680746"
"Dapma7bEVm000004","6.035484","5.169298","5.856797","6.032922","6.098248","5.323585","6.212803","6.256318","5.309688","6.272542","6.425331","6.221646","6.222981"
"Dapma7bEVm000005","7.897488","7.547503","7.106709","7.560900","7.889514","7.238598","7.281561","7.778026","7.110743","7.245833","7.196308","7.193089","7.128492"
"Dapma7bEVm000006","9.299176","9.258522","9.181682","9.040505","9.020752","9.099783","9.190172","9.121011","9.210783","9.116551","9.179851","9.187449","9.092601"
"Dapma7bEVm000007","4.761083","3.367439","4.275251","2.965728","3.512966","3.472450","3.934682","3.400475","2.864461","3.457623","3.958182","3.951671","4.035112"
"Dapma7bEVm000008"," 9.999410","10.152796","10.021513"," 9.979647","10.000475"," 9.877221","10.004117","10.037773","10.049214","10.008590","10.128029","10.141074","10.189690"
"Dapma7bEVm000009","10.66293","10.53054","10.54323","10.61893","10.61995","10.53468","10.64287","10.52822","10.54098","10.65926","10.66649","10.73646","10.66308"
"Dapma7bEVm000010","10.229928","10.224414","10.109544","10.073712","10.193595"," 9.972716","10.083477","10.097374","10.043151","10.037627","10.100524","10.061667"," 9.998752"
"Dapma7bEVm000011","11.232216","11.181345","10.850862","10.016625","10.687363","10.930527","11.197692","10.697738","11.005451","10.750899","10.770159"," 9.567074"," 8.981377"
"Dapma7bEVm000012","10.792321","10.061189","10.091720","10.053522"," 9.999959","10.555043","10.493214"," 9.979566","10.249918","10.412322","10.193983"," 9.604331"," 9.018246"
"Dapma7bEVm000013","18.62353","18.49254","18.48643","18.77245","18.59281","19.00596","18.68897","18.50763","18.78314","18.49839","18.59279","18.38755","18.23759"
"Dapma7bEVm000014","8.411077","8.501463","8.638382","8.512636","8.624310","8.487553","8.546086","8.425314","8.514700","8.727431","8.727565","8.677162","8.630305"
"Dapma7bEVm000015","8.236549","8.007146","8.250227","8.354872","8.226840","8.038994","8.340033","8.254012","8.177113","8.360885","8.512604","8.900831","8.740682"
"Dapma7bEVm000016","10.091150","10.177913"," 9.804859"," 9.529985"," 9.752165"," 9.806306","10.039331"," 9.789089","10.073884"," 9.777181"," 9.729138"," 9.176964"," 9.088279"
"Dapma7bEVm000017","9.261328","9.129468","9.096841","9.113277","9.174144","8.959181","9.127155","9.273132","9.112834","9.209334","9.230795","9.272706","9.196382"
"Dapma7bEVm000018","10.124014","10.052253"," 9.885846","10.097257","10.163756","10.044089","10.066869","10.220332","10.073056","10.118765","10.120702","10.223437","10.146801"
"Dapma7bEVm000019","9.622291","9.431648","9.368461","9.393712","9.432333","9.435348","9.492180","9.516112","9.374272","9.440684","9.471461","9.515975","9.326783"
"Dapma7bEVm000020","9.000286","9.032708","9.127506","9.516907","9.171090","8.987410","9.052644","9.250184","8.997551","9.101271","9.163242","9.615012","9.696010"
"Dapma7bEVm000021","9.830552","9.774611","9.653007","9.663821","9.751070","9.574462","9.686607","9.710053","9.633094","9.738293","9.693170","9.660806","9.609847"
"Dapma7bEVm000022","10.71751","10.49355","10.47299","10.65602","10.72932","10.47966","10.65295","10.66454","10.46916","10.69650","10.70673","10.53921","10.50882"
"Dapma7bEVm000023","8.803088","8.908933","8.813665","8.850287","8.775583","8.827297","8.824707","8.759770","8.839276","8.861076","8.929795","8.802281","8.908701"
"Dapma7bEVm000024","7.252182","7.262088","7.275615","7.516992","7.325474","7.572978","7.446620","7.328219","7.573962","7.110848","7.444211","7.395137","7.302998"
"Dapma7bEVm000025","8.011197","7.894693","7.917128","8.069060","7.625592","7.632034","7.977515","8.033704","7.896506","8.028451","8.018486","8.034882","8.173452"
"Dapma7bEVm000026","7.423780","7.119107","7.210877","7.405920","7.376548","7.320425","7.647795","7.307675","7.218077","7.389523","7.536946","7.580600","7.364756"
"Dapma7bEVm000027","7.293918","6.973310","7.111777","6.974507","6.781112","6.977974","6.963342","6.778972","7.191985","7.461638","7.484479","7.224376","7.578637"
"Dapma7bEVm000028","7.920354","8.021626","7.887282","7.843884","7.800787","7.963864","7.932224","7.942792","8.014587","8.055410","7.853176","7.879903","7.668071"
"Dapma7bEVm000029","10.32310","10.30072","10.29129","10.37975","10.35175","10.38164","10.23672","10.37946","10.33426","10.29616","10.22899","10.28144","10.46662"
"Dapma7bEVm000030","8.890038","9.255534","9.138615","9.343754","9.274984","9.160870","9.309206","9.183452","9.245527","9.251440","9.298386","9.345926","9.303930"
"Dapma7bEVm000031","9.038285","8.955155","8.952526","8.832995","8.998731","9.071115","8.863251","9.013920","8.926289","9.092626","9.029095","8.800305","8.795996"
"Dapma7bEVm000032","9.750853","9.661697","9.599591","9.687304","9.862701","9.660026","9.876708","9.755314","9.709409","9.762496","9.775452","9.654479","9.515461"
"Dapma7bEVm000033","7.026017","7.301131","7.358438","7.368795","7.357253","7.309350","7.380761","7.232576","7.289386","7.324176","7.441758","7.590385","7.642020"
"Dapma7bEVm000034","9.006778","8.911082","9.178870","9.047702","8.955038","9.003052","9.174524","9.088954","9.017123","9.023491","9.265662","9.426708","9.402929"
"Dapma7bEVm000035","9.656763","9.652774","9.638750","9.765522","9.685850","9.750055","9.771097","9.878142","9.656990","9.796742","9.832940","9.996850","9.860080"
"Dapma7bEVm000036","7.551407","7.880229","7.550188","7.529710","7.750721","7.553925","7.570016","7.615239","7.814356","7.606545","7.572236","7.628585","7.731022"
"Dapma7bEVm000037","6.846482","6.572874","6.914207","6.593544","6.685086","6.603772","6.377223","6.445861","6.490278","6.878027","6.870160","7.178649","6.808642"
"Dapma7bEVm000038","8.611576","8.491807","8.178162","8.417233","8.246095","8.523136","8.301012","8.176021","8.464925","8.104944","8.431853","7.679438","7.483502"
"Dapma7bEVm000039","9.867295","9.543624","9.420135","9.321079","9.549119","9.558701","9.900951","9.409748","9.511911","9.818486","9.763778","9.248424","8.923814"
"Dapma7bEVm000040","9.043719","8.918022","8.928667","8.958140","9.086441","9.039800","8.961358","8.963717","8.974788","9.014260","9.111907","8.837563","8.845393"
"Dapma7bEVm000041","9.431373","9.569881","9.498068","9.411457","9.549531","9.538870","9.563396","9.416009","9.591516","9.600648","9.507070","9.506186","9.370460"
"Dapma7bEVm000042","6.289460","6.100259","5.986723","6.020622","6.532983","6.075377","6.296518","6.105986","6.180505","6.390509","6.192653","6.212577","6.065450"
"Dapma7bEVm000043","9.612979","9.977456","9.586206","8.756101","9.484327","9.377203","9.630585","9.161803","9.734389","9.158653","9.298888","8.371195","8.148563"
"Dapma7bEVm000044","8.463966","8.570374","8.503620","8.404603","8.595017","8.642770","8.403198","8.560785","8.559001","8.618898","8.671520","8.567497","8.518841"
"Dapma7bEVm000045","11.13820","11.07651","11.02994","10.87602","11.05433","11.00437","11.03429","11.07662","10.99481","11.08990","11.04332","10.97659","10.92186"
"Dapma7bEVm000046","6.313912","5.283119","5.114026","4.511344","4.397709","4.893349","4.692331","4.618032","4.499650","4.990022","4.558039","4.955423","4.710831"
"Dapma7bEVm000047","5.947487","6.139795","5.758173","6.407802","5.971769","6.450385","5.976955","6.026452","6.457568","6.331371","6.091434","6.225357","6.761690"
"Dapma7bEVm000048","12.75835","12.46341","12.66373","12.53662","12.51955","12.52458","12.60632","12.56230","12.45844","12.77099","12.68123","12.79481","12.70481"
"Dapma7bEVm000049","6.999184","7.457259","7.317918","7.292838","7.458420","7.307076","7.117897","7.111493","7.311875","7.281541","7.030309","7.182181","7.160385"
"Dapma7bEVm000050","6.297247","5.282145","5.569700","5.130906","5.361647","4.166154","4.593215","4.106144","4.880870","5.184340","4.875042","4.182909","5.405042"
"Dapma7bEVm000051","7.388633","7.400435","7.390791","7.550837","7.517511","7.380680","7.582857","7.379872","7.398677","7.650165","7.593659","7.836681","7.814270"
"Dapma7bEVm000052","8.814381","8.906165","8.776478","8.760406","8.768342","8.867045","8.857286","8.907764","8.823101","8.990091","8.890855","8.923201","8.680006"
"Dapma7bEVm000053","9.242813","9.682547","9.449604","9.594892","9.534976","9.396902","9.589685","9.514712","9.643044","9.399650","9.527679","9.464664","9.397212"
"Dapma7bEVm000054","8.542696","8.569039","8.636741","8.633496","8.622929","8.667522","8.587012","8.636918","8.597660","8.488277","8.519520","8.548429","8.592012"
"Dapma7bEVm000055","12.62390","12.21719","12.31806","12.18825","12.26434","12.11468","12.26783","12.28275","12.08991","12.44562","12.30140","12.21710","12.08754"
"Dapma7bEVm000056","9.765377","9.774278","9.688441","9.868990","9.807956","9.802598","9.755447","9.832505","9.815517","9.749565","9.899397","9.869094","9.809226"
"Dapma7bEVm000057","7.651502","7.989064","7.806968","8.044311","7.815863","7.781875","8.027426","7.806879","7.789481","7.963514","8.192052","8.414802","8.140934"
"Dapma7bEVm000058","10.660937","10.678160","10.591823","10.145983","10.401815","10.325543","10.465626","10.219771","10.435948","10.330298","10.319581"," 9.903666"," 9.954836"
"Dapma7bEVm000059","9.451689","9.398595","9.363802","9.457112","9.403395","9.480744","9.371069","9.473434","9.371628","9.491184","9.394077","9.542018","9.487349"
"Dapma7bEVm000060","9.297435","9.521547","9.529038","9.619516","9.425325","9.535139","9.486222","9.486948","9.569799","9.480669","9.700473","9.833218","9.657615"
"Dapma7bEVm000061","7.962117","8.357400","8.432582","8.388799","8.618579","8.313980","8.426705","8.414154","8.390025","8.469542","8.475165","8.617992","8.457889"
"Dapma7bEVm000062","8.400268","8.658432","8.552544","8.669938","8.723455","8.538362","8.708290","8.638557","8.677285","8.641038","8.641675","8.717594","8.763255"
"Dapma7bEVm000063","8.575728","7.983504","7.579790","7.546350","7.897996","8.210901","8.365626","7.680391","7.945262","7.969265","8.094210","7.052398","5.986533"
"Dapma7bEVm000064","9.644284","9.616139","9.605816","9.606117","9.590620","9.532842","9.493737","9.715500","9.476386","9.523609","9.614388","9.551826","9.698869"
"Dapma7bEVm000065","7.941682","7.982746","8.105038","7.839723","7.952816","7.927702","8.036679","8.014548","7.894686","8.130560","7.866614","8.014995","8.156460"
"Dapma7bEVm000066","7.284972","5.582846","6.962134","6.519382","6.341785","6.209532","5.638789","6.365521","5.959798","6.473974","6.148680","6.976077","7.070826"
"Dapma7bEVm000067","8.894508","9.051555","8.949610","9.087123","9.062133","8.733193","9.018880","9.073006","9.076862","9.032854","9.058672","9.140527","9.276919"
"Dapma7bEVm000068","9.533302","9.728517","9.626145","9.560244","9.642481","9.441845","9.717734","9.526725","9.597801","9.649217","9.553219","9.609093","9.517450"
"Dapma7bEVm000069","8.989076","9.299700","9.113818","9.268271","9.194825","9.354508","9.304817","9.191071","9.316027","9.204817","9.143607","9.209456","9.251215"
"Dapma7bEVm000070","4.153951","4.201930","5.103780","4.743822","4.726987","4.582567","4.847080","4.610502","4.667571","4.957661","5.073610","5.234470","5.273837"
"Dapma7bEVm000071","10.33031","10.68865","11.20286","11.12717","10.84548","10.68739","10.63500","11.07678","10.81418","10.60423","10.82806","11.47795","11.71683"
"Dapma7bEVm000072","8.116970","8.636840","9.023074","9.100415","8.704526","8.731367","8.459832","8.911100","8.742718","8.482869","8.579851","9.409728","9.494642"
"Dapma7bEVm000073","8.054330","8.444041","8.450690","8.589665","8.181911","8.445382","8.335672","8.493268","8.421756","8.217561","8.378125","8.499784","8.711857"
"Dapma7bEVm000074","8.397549","7.711993","8.434198","7.965278","8.193379","7.951806","7.879777","8.204096","7.830337","8.486109","8.296402","8.200735","8.387177"
"Dapma7bEVm000075","10.294960","10.315560"," 9.859409","10.125506","10.201435","10.258663","10.216720","10.318038","10.279748","10.082372","10.248491","10.304170","10.496968"
"Dapma7bEVm000076","8.109928","7.807535","8.235692","8.101511","8.011063","8.317906","8.163430","8.239975","8.016617","8.304798","8.339807","8.524977","8.255685"
"Dapma7bEVm000077","9.806797","9.723475","9.653867","9.618746","9.577102","9.610127","9.723670","9.700874","9.569504","9.775681","9.783918","9.996627","9.817777"
"Dapma7bEVm000078","9.431290","9.542987","9.318512","9.414714","9.669874","9.312166","9.570540","9.430078","9.457107","9.351052","9.478454","9.059325","9.012348"
"Dapma7bEVm000079","8.452076","8.529851","8.365830","8.202545","8.349344","8.255140","8.443974","8.399212","8.446047","8.385444","8.416593","8.258140","8.319643"
"Dapma7bEVm000080","9.960811","9.698996","9.372718","9.229923","9.267398","9.747165","9.990554","9.717497","9.548023","9.538500","9.698068","9.185357","8.953750"
"Dapma7bEVm000081","8.934321","8.868073","8.651230","8.610325","8.613983","8.880740","8.701926","8.632322","8.909206","8.705910","8.688597","8.524948","8.376926"
"Dapma7bEVm000082","8.971433","8.925001","8.543268","8.826297","8.806634","9.130511","8.974001","8.983538","8.884076","8.697904","8.788708","8.768287","8.881197"
"Dapma7bEVm000083","8.369127","8.439426","8.233457","8.448596","8.323978","8.122660","8.176062","8.388727","8.355591","8.326568","8.221592","8.310565","8.311989"
"Dapma7bEVm000084","8.513022","8.409411","8.337283","8.744543","8.521749","8.490358","8.574936","8.564490","8.424682","8.511981","8.748002","8.820882","8.781925"
"Dapma7bEVm000085","8.064674","8.158789","8.021102","8.176992","8.117132","8.210801","8.199199","8.370488","8.144097","8.091224","8.266203","8.297762","8.232641"
"Dapma7bEVm000086","2.986698","3.118847","2.925214","2.771584","3.709398","3.093628","2.502977","2.945995","2.487382","3.891204","2.779482","2.436008","2.943867"
"Dapma7bEVm000087","10.134369"," 9.940709","10.207824"," 9.939369"," 9.876270"," 9.991290","10.102822","10.070479"," 9.992590","10.204676","10.131538","10.261669","10.275886"
"Dapma7bEVm000088","7.869129","8.210840","7.613219","8.089946","8.157514","7.911656","7.859150","7.943400","8.451143","7.785546","7.980176","7.344302","7.630421"
"Dapma7bEVm000089","7.204399","7.235200","7.108705","6.946035","7.184593","6.688656","7.065110","7.098476","6.883860","6.975235","7.254934","7.339726","7.183037"
"Dapma7bEVm000090","8.193660","8.198002","8.131246","8.124370","8.010283","8.060149","8.087743","7.863759","8.089454","8.028761","8.053404","8.014012","8.127042"
"Dapma7bEVm000091","6.772297","6.597466","6.495934","6.480259","6.473426","6.027735","6.301126","6.322207","6.378129","6.136152","6.071445","6.319736","6.333154"
"Dapma7bEVm000092","7.921317","8.189136","8.084032","8.021119","8.261732","8.061280","8.076281","8.200830","8.252167","8.077474","8.064958","8.088798","7.870512"
"Dapma7bEVm000093","7.418514","7.560656","7.378746","7.549931","7.710842","7.322484","7.563746","7.595278","7.575583","7.457175","7.606556","7.461227","7.486716"
"Dapma7bEVm000094","6.491061","6.211110","6.533932","6.594974","6.402178","6.219067","6.365595","6.468878","6.345612","6.318939","6.821033","7.070341","6.837244"
"Dapma7bEVm000095","8.650796","8.622141","8.527606","8.697245","8.520470","8.585058","8.727674","8.596185","8.616125","8.628528","8.762918","8.891512","8.798626"
"Dapma7bEVm000096","10.12534","10.49697","10.47669","10.49572","10.65630","10.37345","10.54371","10.44624","10.63680","10.53881","10.60077","10.52865","10.57492"
"Dapma7bEVm000097"," 9.986084"," 9.831823"," 9.964788","10.057729","10.003582"," 9.905954","10.002667","10.023031"," 9.996469","10.027435","10.073424","10.206147","10.114521"
"Dapma7bEVm000098","9.341147","9.278652","9.180913","9.311364","9.259023","9.264841","9.431791","9.149335","9.318252","9.220880","9.279182","9.131164","9.019661"
"Dapma7bEVm000099","9.361162","9.261746","9.132982","9.371372","9.309866","9.161216","9.252822","9.245386","9.172120","9.449458","9.259247","9.315254","9.314018"
"Dapma7bEVm000100","7.812197","7.790577","7.953218","7.740491","7.888362","7.968418","7.946398","7.588994","7.867009","8.068750","7.909079","7.973429","7.940117"
"Dapma7bEVm000101","3.786594","3.749506","4.011853","3.520404","3.443034","3.514238","3.610285","3.147770","4.200897","3.071309","3.549382","3.191550","3.461464"
"Dapma7bEVm000102","10.88784","10.86309","10.93753","11.09474","11.01676","10.93772","10.99979","11.10344","10.93207","11.07113","10.95919","11.25551","11.34697"
"Dapma7bEVm000103","5.922632","6.071430","6.255405","6.177418","5.992348","6.294471","6.108565","6.007591","6.030398","6.249305","6.235995","6.413765","6.398624"
"Dapma7bEVm000104","10.20907","10.12687","10.01528","10.07025","10.06856","10.08047","10.17020","10.14486","10.14575","10.17113","10.21830","10.12510","10.09391"
"Dapma7bEVm000105","8.876555","8.240160","8.845037","8.286452","8.450291","8.152231","8.675472","8.615201","8.337443","9.128803","8.804156","8.979531","9.162159"
"Dapma7bEVm000106","4.047238","4.177342","4.143909","3.890563","4.128861","3.729962","4.184917","3.197475","3.824705","3.981620","3.680056","4.110280","3.781722"
"Dapma7bEVm000107","8.389097","8.903105","8.406436","7.412138","8.181152","8.209220","8.390335","7.698121","8.496489","7.870712","7.503914","6.381992","6.001074"
"Dapma7bEVm000108","9.505330","9.643589","9.401996","9.460113","9.441418","9.316319","9.596932","9.507442","9.456694","9.536842","9.671928","9.586913","9.483952"
"Dapma7bEVm000109","8.565361","8.550927","8.454450","8.377645","8.296098","8.439779","8.630184","8.441429","8.327417","8.481750","8.577257","8.543236","8.443236"
"Dapma7bEVm000110","8.827977","9.005687","8.873965","8.619588","8.885295","8.977362","8.655922","8.842702","8.818291","8.680237","8.466620","8.480634","8.526980"
"Dapma7bEVm000111","8.400218","8.806323","8.305242","8.158186","8.214513","8.474621","8.719790","8.366784","8.814869","8.251233","8.354576","8.098320","8.040303"
"Dapma7bEVm000112","6.858528","4.917730","6.149921","5.544927","5.751559","5.481423","4.806447","5.614014","5.568997","5.643051","5.589104","5.631423","6.184821"
"Dapma7bEVm000113","4.138244","4.405881","2.895163","3.133407","3.690468","4.238873","3.939092","2.634538","3.734648","3.814458","3.640937","2.162850","2.300589"
"Dapma7bEVm000114","3.334089","4.945183","4.659119","5.130261","4.575028","4.083125","4.818093","4.875338","5.037073","4.542818","3.871555","4.984653","4.476647"
"Dapma7bEVm000115","10.63988","10.19011","10.37940","10.39346","10.16906","10.32662","10.39309","10.41044","10.19081","10.34130","10.46708","10.73294","10.64323"
"Dapma7bEVm000116","8.719062","8.540054","8.574348","8.613090","8.621197","8.591147","8.559765","8.642125","8.551112","8.768331","8.859685","8.825884","8.927844"
"Dapma7bEVm000117","11.11827","11.33861","11.15388","11.18952","11.36266","11.16537","11.26796","11.17888","11.27772","11.24491","11.26263","10.97370","11.02406"
"Dapma7bEVm000118","8.539593","8.369816","8.486467","8.601226","8.338841","8.459371","8.516687","8.476499","8.593655","8.561225","8.670137","8.775102","8.673485"
"Dapma7bEVm000119","9.357047","9.181690","9.222216","9.279252","9.301281","9.466016","9.296640","9.315760","9.306769","9.461293","9.324229","9.382891","9.326858"
"Dapma7bEVm000120","10.043292","10.053368"," 9.921220","10.034658"," 9.981384","10.031261","10.074822"," 9.974883"," 9.937684","10.064913","10.025723","10.130827"," 9.971762"
"Dapma7bEVm000121","8.122735","8.362037","8.448526","8.508359","8.426257","8.418324","8.474267","8.469352","8.369068","8.538916","8.719976","8.785000","8.833943"
"Dapma7bEVm000122","7.106092","6.978856","7.219028","6.894568","6.840011","7.096349","6.692912","6.747685","7.156899","6.980728","6.656745","6.923972","7.035417"
"Dapma7bEVm000123","8.347849","8.354435","8.355487","8.459483","8.497923","8.508417","8.416624","8.352667","8.338877","8.383501","8.471066","8.544928","8.468317"
"Dapma7bEVm000124","8.069738","8.284123","8.259131","8.299522","8.025053","8.060404","8.046074","8.147915","8.206830","8.175368","8.203532","8.543266","8.390837"
"Dapma7bEVm000125","9.423247","9.253546","9.143764","9.367918","9.281686","9.570424","9.394988","9.402271","9.309020","9.378937","9.421896","9.366029","9.123540"
"Dapma7bEVm000126","9.526461","9.539570","9.195751","6.701458","7.939728","8.580621","9.498899","8.607024","9.316592","7.673922","8.028235","5.458710","4.813081"
"Dapma7bEVm000127","9.319171","9.185910","8.952981","8.676752","9.079397","8.966544","9.248989","8.981699","9.187074","9.069448","9.088577","8.385357","8.087279"
"Dapma7bEVm000128","8.668749","8.751827","8.442866","8.680891","8.713847","8.582884","8.661369","8.674292","8.787212","8.774225","8.753898","8.677076","8.655995"
"Dapma7bEVm000129","8.720065","8.897831","8.814623","8.566183","8.957627","8.655389","8.805549","8.788989","8.802470","8.835963","8.650314","8.468100","8.615581"
"Dapma7bEVm000130","7.135664","6.977541","7.280465","6.885896","6.824199","6.926930","6.129264","6.054741","7.217188","6.769855","6.014978","6.151066","6.831176"
"Dapma7bEVm000131","8.672669","8.603173","8.739352","8.875138","8.810570","8.690534","8.738478","8.843446","8.817503","8.866464","8.856268","8.999950","8.973575"
"Dapma7bEVm000132","7.319655","7.576361","7.681479","7.655381","7.562611","7.322270","7.784095","7.597101","7.740892","7.762149","7.633121","7.595470","7.614347"
"Dapma7bEVm000133","9.596748","9.499146","9.486447","9.510913","9.385552","9.626992","9.694667","9.561964","9.514291","9.601925","9.716704","9.789809","9.642994"
"Dapma7bEVm000134","9.425069","9.319899","9.445558","9.337449","9.424405","9.161244","9.391735","9.490301","9.347700","9.550906","9.340141","9.573113","9.646428"
"Dapma7bEVm000135","6.947783","7.061374","7.236969","6.727744","7.220028","6.940759","6.649522","6.358449","6.918841","5.952160","5.933421","4.741035","5.321951"
"Dapma7bEVm000136","10.412857","10.186279","10.135069","10.280973","10.078488"," 9.986612","10.143835","10.259078","10.018865","10.198314","10.336875","10.479904","10.393546"
"Dapma7bEVm000137","7.471803","7.718017","7.729649","7.683017","7.810372","7.561426","7.614266","7.846311","7.543689","7.797481","7.630598","7.885552","7.750302"
"Dapma7bEVm000138","7.553565","7.966362","7.996427","7.696552","7.474546","7.525095","7.726718","7.189729","7.969012","7.820077","7.577388","7.816180","7.650657"
"Dapma7bEVm000139","7.236843","7.474357","7.389591","7.268985","7.571425","7.298000","7.374506","7.436808","7.288331","7.244380","7.380800","7.507690","7.422595"
"Dapma7bEVm000140","4.020538","4.787702","4.670322","4.539025","4.065522","4.041655","4.471473","4.396712","4.611542","4.134184","4.772011","5.037628","4.527511"
"Dapma7bEVm000141","8.725320","8.720677","8.739259","8.833419","8.875868","8.775318","8.844668","8.876032","8.764614","8.897836","8.953145","8.810067","8.792057"
"Dapma7bEVm000142","8.160934","8.288095","8.159985","8.283412","8.258260","7.946592","8.218936","8.216839","8.224619","8.163388","8.210383","8.235990","8.219837"
"Dapma7bEVm000143","3.037686","2.275388","3.637491","3.989042","3.990317","3.397166","3.617353","3.238946","3.627831","3.889789","3.654370","3.897955","4.221299"
"Dapma7bEVm000144","1.9123592","3.1648947","2.9758525","2.6423050","1.2218929","1.9761747","2.6145243","1.9191512","3.0072757","2.8238885","1.8673318","0.8262861","1.5762323"
"Dapma7bEVm000145","3.0015924","1.4176925","2.4490933","3.0978652","2.6117589","1.8816759","0.9027913","2.9477685","0.9903724","1.8593596","0.8002873","2.2014436","2.6834091"
"Dapma7bEVm000146","7.436149","7.795399","7.669498","7.707425","7.591089","7.627241","7.647424","7.389237","7.781372","7.521816","7.581426","7.547635","7.599737"
"Dapma7bEVm000147","5.665428","3.662018","4.504364","3.519567","4.352813","4.026929","3.104798","3.857085","3.664238","4.213208","3.925974","4.756884","4.330837"
"Dapma7bEVm000148","8.700831","8.710908","8.985909","8.917023","8.758457","8.934720","8.898956","9.016000","8.793545","8.937053","8.994604","8.763007","8.736977"
"Dapma7bEVm000149","7.558337","6.473510","5.766175","6.274076","6.914100","6.205129","6.690080","6.779837","6.144623","6.917257","7.202034","4.622452","3.287857"
"Dapma7bEVm000150","11.49116","11.36077","11.02670","10.95808","10.94556","11.43502","11.55939","11.17818","11.37090","11.26906","11.27760","10.74550","10.40708"
"Dapma7bEVm000151","9.184969","9.244210","9.223156","9.160461","9.328683","9.155684","9.367484","9.168740","9.161205","9.360475","9.311210","9.372598","9.306558"
"Dapma7bEVm000152","8.052799","8.165416","8.444754","8.123819","8.461404","8.442800","8.319096","8.440643","8.428001","8.232582","8.327136","8.282570","8.460087"
"Dapma7bEVm000153","9.424659","9.368273","9.354759","9.257003","9.465827","9.403211","9.492037","9.271501","9.485711","9.434296","9.547312","9.393740","9.291811"
"Dapma7bEVm000154","10.032815","10.135507"," 9.987766"," 9.965960","10.068715"," 9.962779","10.020567"," 9.891217","10.130673","10.010334","10.059371"," 9.882182"," 9.980137"
"Dapma7bEVm000155","1.424910","1.966623","2.028726","2.711644","2.254831","2.881859","2.086729","2.174009","2.238590","3.193468","2.063689","3.463022","3.092603"
"Dapma7bEVm000156","7.698575","7.850201","7.414400","7.695382","7.803528","7.525266","7.676935","7.486554","7.566359","7.638429","7.812430","7.671451","7.640057"
"Dapma7bEVm000157","8.186810","8.458583","8.117936","8.147349","8.392536","8.320101","8.264570","8.082583","8.295588","8.224399","8.374045","8.118252","7.742325"
"Dapma7bEVm000158","7.624739","7.861806","7.890863","7.832040","8.046444","7.897197","8.005424","7.892452","7.842683","7.893492","7.879595","7.811059","7.801992"
"Dapma7bEVm000159","10.068619","10.196001"," 9.761891"," 8.431959"," 8.662182"," 9.842970","10.129812"," 9.510813","10.148688"," 9.657123"," 9.189433"," 8.209242"," 7.962603"
"Dapma7bEVm000160","10.22120","10.34105","10.27625","10.14659","10.26051","10.20221","10.37375","10.32643","10.35715","10.40703","10.35563","10.35526","10.27061"
"Dapma7bEVm000161","9.066825","9.125005","9.083655","9.218061","9.230450","9.102749","9.045629","9.232336","9.234019","9.175694","9.032746","9.237318","9.229073"
"Dapma7bEVm000162","10.79807","11.01401","10.91448","11.02593","11.11105","10.74777","11.03699","10.96083","11.10384","10.92461","11.00525","10.83133","10.73277"
"Dapma7bEVm000163","6.741423","6.892114","6.720994","6.721541","6.755884","6.784098","6.776222","6.762091","6.761760","6.711131","6.946632","6.683841","6.814197"
"Dapma7bEVm000164","11.26605","11.25141","11.04396","11.31995","11.29299","10.97623","11.13048","11.27893","11.18532","11.17723","11.21544","11.18024","11.17360"
"Dapma7bEVm000165","10.30040","10.38676","10.57343","10.30870","10.49172","10.20597","10.47356","10.49802","10.42592","10.46880","10.41694","10.31959","10.41082"
"Dapma7bEVm000166","9.657380","9.231370","9.263445","9.224391","9.198529","9.045581","9.330586","9.260233","9.295630","9.387928","9.438248","9.511540","9.338628"
"Dapma7bEVm000167","7.607730","7.637538","7.609392","7.611684","7.722422","7.494360","7.560303","7.584298","7.782291","7.585764","7.521942","7.294141","7.523076"
"Dapma7bEVm000168","7.822989","8.092666","7.931380","7.927834","7.943168","7.755258","7.940400","7.942129","8.025007","8.033282","8.079594","7.836103","7.862189"
"Dapma7bEVm000169","8.180962","8.598306","8.520123","8.639582","8.348027","8.494087","8.430665","8.411707","8.508689","8.153848","8.288291","8.186042","8.347692"
"Dapma7bEVm000170","7.588037","7.233667","7.378624","7.395383","7.343612","7.416428","7.433631","7.382332","7.211518","7.617771","7.599621","7.722863","7.391998"
"Dapma7bEVm000171","10.588506","10.505281","10.428713","10.424067","10.722690","10.224058","10.347788","10.434521","10.272396","10.463335","10.046617"," 9.732482"," 9.901067"
"Dapma7bEVm000172","10.64168","10.60913","10.54284","10.55850","10.70324","10.69054","10.64442","10.76397","10.60753","10.77216","10.69685","10.60040","10.56815"
"Dapma7bEVm000173","7.256472","7.499811","7.386546","7.220824","7.543854","7.140784","7.414155","7.408827","7.597982","7.361678","7.446582","7.481527","7.355585"
"Dapma7bEVm000174","7.577623","7.672872","7.424678","7.713605","7.520250","7.305304","7.493111","7.587600","7.483932","7.249756","7.392009","7.368624","7.531489"
