"","Control","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12"
"Dapma7bEVm001205","3.488854","1.992697","4.038163","3.059033","2.960622","3.649741","2.788885","2.861381","2.428103","3.907854","2.459855","2.358599","4.385048"
"Dapma7bEVm001206","10.53157","10.48913","10.80101","10.94025","10.67350","10.46205","10.44070","10.79591","10.58015","10.50636","10.69599","11.15075","11.33529"
"Dapma7bEVm001207","3.4528557","3.6705134","2.4317412","3.5379586","1.4725528","2.0551319","0.9160763","2.2324421","2.7342528","3.0460956","2.8122860","2.0018719","2.6343540"
"Dapma7bEVm001208","7.636934","7.766395","7.845126","7.678541","8.034270","7.965896","7.885619","7.850633","7.661137","7.853477","7.881893","7.659356","7.467735"
"Dapma7bEVm001209","8.801626","8.788859","8.746216","8.833004","8.809392","8.758301","8.815876","8.832153","8.884135","8.741466","8.811218","8.879948","8.838745"
"Dapma7bEVm001210","9.952739","9.497171","9.601529","9.679640","9.559021","9.658770","9.728051","9.774132","9.645921","9.713529","9.816350","9.715205","9.623387"
"Dapma7bEVm001211","7.252318","7.660710","7.679951","7.519494","7.569924","7.434945","7.432273","7.392143","7.541754","7.475694","7.286892","7.432776","7.328883"
"Dapma7bEVm001212","7.225091","7.700215","7.495662","5.356185","7.422162","7.463321","6.870518","6.260705","7.296872","6.323359","6.151269","4.576123","3.308482"
"Dapma7bEVm001213","9.013356","8.379203","7.047270","7.478070","7.503877","8.882707","8.755656","7.904068","8.559523","7.688020","7.491064","5.426712","2.820412"
"Dapma7bEVm001214","7.627619","7.477822","7.410780","7.740363","7.605350","7.593335","7.324259","7.499596","7.439313","7.526602","7.377845","7.205271","7.123588"
"Dapma7bEVm001215","8.369275","8.379909","8.305829","8.102505","8.306579","8.115265","8.177400","8.338166","8.286882","8.514874","8.165224","7.936381","8.019210"
"Dapma7bEVm001216","5.793129","5.531323","5.814916","5.839451","5.722315","5.633648","5.953764","5.718907","5.821925","5.756583","5.839124","5.741400","5.862583"
"Dapma7bEVm001217","6.647562","6.642994","6.781458","6.668492","6.405101","6.478075","6.752324","6.761652","6.586333","6.751071","6.881614","6.980620","6.963105"
"Dapma7bEVm001218","5.192795","4.291186","4.630359","4.489456","4.237173","4.216741","4.493773","4.331362","3.221185","4.302070","4.798831","4.907874","4.663067"
"Dapma7bEVm001219","5.370766","5.054499","5.182657","4.972961","5.363437","5.237713","5.483665","4.925891","5.375381","5.388433","5.013667","4.706567","4.299276"
"Dapma7bEVm001220","7.396078","8.047043","7.277706","5.771971","6.960729","6.897004","6.739279","5.426758","7.128127","5.912102","6.467065","3.990778","3.615821"
"Dapma7bEVm001221","12.442134","12.663016","12.314358","11.199151","12.654496","12.402021","12.267882","11.787880","12.540070","11.830475","11.984528"," 9.413048"," 8.730044"
"Dapma7bEVm001222","3.364620","2.172574","3.608778","2.981705","3.021784","2.047952","3.398804","3.722211","2.419469","2.741033","3.055066","3.518140","2.837712"
"Dapma7bEVm001223","5.172372","5.932820","5.440502","3.123246","4.082058","4.930382","5.830119","3.727594","5.451522","3.630509","4.322716","2.469628","1.608447"
"Dapma7bEVm001224","6.547745","4.495953","4.644692","5.104477","5.375689","5.802507","5.591307","5.018551","5.170771","5.660812","5.686624","4.131445","2.144857"
"Dapma7bEVm001225","4.843203","5.557453","5.451186","5.331294","5.453443","5.682781","5.579119","5.764521","4.975881","5.638092","5.403853","5.576662","5.762764"
"Dapma7bEVm001226","5.644212","5.488729","5.444956","5.538226","5.248262","5.842382","5.419102","5.283262","5.700977","5.735502","5.367038","5.726298","5.620132"
"Dapma7bEVm001227","6.642874","4.382944","5.203968","5.279410","4.661901","4.335607","4.766333","5.165250","4.939632","4.450776","4.849771","5.161703","5.184432"
"Dapma7bEVm001228","9.271975","9.369625","9.261182","9.333245","9.324662","9.148483","9.010979","9.197087","9.275340","9.095345","9.020278","9.049676","9.143507"
"Dapma7bEVm001229","5.060270","5.052128","5.182971","5.302704","5.430723","5.236777","5.360278","5.059590","5.505848","5.090891","5.136938","5.320362","5.220940"
"Dapma7bEVm001230","5.224697","4.892889","5.247640","5.298970","5.366161","5.445333","5.459209","5.480897","5.200808","5.523612","5.384913","4.968788","5.495750"
"Dapma7bEVm001231","7.066970","7.426502","7.536111","7.518772","7.517470","7.089764","7.355171","7.398779","7.505515","7.608646","7.340849","7.645815","7.822872"
"Dapma7bEVm001232","10.008438"," 9.099145"," 8.981357"," 9.517322"," 9.258994"," 9.137076"," 9.635198"," 9.541501"," 9.292431"," 9.542186","10.199478","10.511657","10.099094"
"Dapma7bEVm001233","7.543201","7.642852","7.528289","7.756263","7.668020","7.559654","7.518360","7.750972","7.530476","7.548189","7.507316","7.856970","7.888486"
"Dapma7bEVm001234","8.378469","8.461714","8.600143","8.596581","8.609049","8.598503","8.587847","8.626689","8.519288","8.642649","8.573600","8.659894","8.722041"
"Dapma7bEVm001235","5.559721","4.384827","5.329756","5.295670","4.940377","4.513261","4.980037","5.229235","5.026699","4.880316","4.749287","5.367417","5.226560"
"Dapma7bEVm001236","4.948786","4.817976","3.187206","3.434345","3.692255","4.792087","4.067062","3.997533","4.276662","3.893292","4.197503","2.809220","1.655307"
"Dapma7bEVm001237","8.423850","8.328602","8.504124","8.373969","8.268628","8.429765","8.422207","8.460532","8.357380","8.281792","8.396021","8.541703","8.615411"
