"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Dapma7bEVm000061",328.898658221076,0.4725315840373,0.0852799707558563,5.54094448965147,3.00844580531877e-08,0.000496965162580608
"Dapma7bEVm000517",218.836516498875,0.422451432535448,0.101345060487834,4.16844620252767,3.06683123912901e-05,0.0310461773979716
"Dapma7bEVm001479",366.682434708641,0.926553130697058,0.220209164178919,4.20760477499582,2.58091748029487e-05,0.0302801695587955
"Dapma7bEVm001510",521.72777179721,0.305927020918756,0.0684466965025028,4.46956590385,7.83785067922573e-06,0.0161841819212662
"Dapma7bEVm001799",367.790276188186,0.483919099522591,0.115084763755861,4.20489284358415,2.6120588074298e-05,0.0302801695587955
"Dapma7bEVm002676",51.8849741883555,-1.23058949435586,0.297641484436282,-4.13446901290164,3.55776250671249e-05,0.0310461773979716
"Dapma7bEVm002847",1002.15917537201,1.47778264653002,0.323372058635454,4.56991445941829,4.87923327353311e-06,0.0115142934922134
"Dapma7bEVm004335",411.233051135648,-0.461867733450077,0.112995409532929,-4.08749112339363,4.3606335551221e-05,0.036016652848531
"Dapma7bEVm004947",1132.7452145859,-0.576063196291121,0.11476644076188,-5.01943941510176,5.18224859185949e-07,0.00171211128977854
"Dapma7bEVm005278",1171.7046563953,-0.994103173510154,0.211824270043376,-4.69305605682762,2.69153699021017e-06,0.00741024992354698
"Dapma7bEVm006082",45.7131008016803,-1.7864192691739,0.340000218257308,-5.25417094827263,1.4869272530538e-07,0.000818751709773192
"Dapma7bEVm006722",3487.70334892925,0.629698403836298,0.148313531461012,4.24572456493515,2.17888158375176e-05,0.0299941207349961
"Dapma7bEVm006919",487.171537796654,0.734037269879755,0.183832068457348,3.99297726473694,6.52488267272286e-05,0.0449102236961287
"Dapma7bEVm008217",10.2702216199267,-3.15277874406268,0.626741672646101,-5.0304278168574,4.89386609724116e-07,0.00171211128977854
"Dapma7bEVm008242",38.9767213964598,0.83652782692252,0.211473890662417,3.95570263687019,7.6310033491501e-05,0.0484832862786963
"Dapma7bEVm008515",23.630682859518,-1.56293875935093,0.387013621411344,-4.03845930190073,5.38034257636058e-05,0.040399035917682
"Dapma7bEVm009551",39.7207655008199,-1.43283557282487,0.341698576588448,-4.19327346086846,2.74957650815383e-05,0.0302801695587955
"Dapma7bEVm009667",1792.31992706807,-0.350596211203803,0.0890673322728051,-3.93630529013666,8.27456973285576e-05,0.0493076323929474
"Dapma7bEVm009719",40.992884282072,-0.870461486595477,0.210580802423246,-4.13362223231506,3.57090241879932e-05,0.0310461773979716
"Dapma7bEVm011164",54.1593440121511,0.80669394106594,0.205464102888557,3.92620379776747,8.62970458969207e-05,0.0493076323929474
"Dapma7bEVm011317",406.966071266657,-0.502638362677519,0.124273738431426,-4.04460643915428,5.24110930057482e-05,0.040399035917682
"Dapma7bEVm011320",203.600655478188,0.759908712827546,0.183207246294395,4.14780926081085,3.35671870490795e-05,0.0310461773979716
"Dapma7bEVm012758",6.76462417113698,3.10794326132672,0.784424522212768,3.96206795340817,7.43033842865167e-05,0.0484832862786963
"Dapma7bEVm015078",7944.22915554332,-0.416502093603098,0.106102602841994,-3.92546537452381,8.65622216475256e-05,0.0493076323929474
"Dapma7bEVm015205",5854.66260646892,-0.402702519928795,0.0910383314809446,-4.42343915335361,9.71419996399753e-06,0.0178298743561417
"Dapma7bEVm018440",361.786110545625,-0.484929532210669,0.0904961595891551,-5.3585647657559,8.38856657485343e-08,0.000692853656250019
"Dapma7bEVm019134",24.7149843058794,6.75387695735898,1.68451536477809,4.00938875274,6.08761243846465e-05,0.0437222912482598
"Dapma7bEVm019140",18.1970351870105,-2.64020590015458,0.608198941913354,-4.34102350104173,1.41820552140274e-05,0.0234273370080518
"Dapma7bEVm028362",10063.8010518851,-0.338579942139068,0.0785802234418101,-4.30871696858678,1.64204340702035e-05,0.0246590136732447
"Dapma7bEVm028893",51.1288247771753,0.923550436658436,0.23576552199246,3.91724128639968,8.95680881964278e-05,0.049319174963893
