,mz,CK07,CK08,CK09,CK10,CK11,CK12,D01A1,D01A2,D01A3,D01A4,D01A5,D01A6,D01B1,D01B2,D01B3,D01B5,D01B6,D02A1,D02A2,D02A3,D02A4,D02A5,D02A6,D02B1,D02B2,D02B3,D02B4,D02B5,D02B6,D03A1,D03A2,D03A3,D03A4,D03A5,D03A6,D03B1,D03B2,D03B3,D03B4,D03B5,D03B6,D04A1,D04A2,D04A3,D04A4,D04A5,D04A6,D04B1,D04B2,D04B3,D04B4,D04B5,D04B6,D05A1,D05A2,D05A3,D05A4,D05A5,D05A6,D05B1,D05B2,D05B3,D05B4,D05B5,D05B6,D06A1,D06A2,D06A3,D06A4,D06A5,D06A6,D06B1,D06B2,D06B3,D06B4,D06B5,D06B6,D07A1,D07A2,D07A3,D07A4,D07A5,D07A6,D07B1,D07B2,D07B3,D07B4,D07B5,D07B6,D08A1,D08A2,D08A3,D08A4,D08A5,D08A6,D08B1,D08B2,D08B3,D08B4,D08B5,D08B6,D09A1,D09A2,D09A3,D09A4,D09A5,D09A6,D09B1,D09B2,D09B3,D09B4,D09B5,D09B6,D10A1,D10A2,D10A3,D10A4,D10A5,D10A6,D10B1,D10B2,D10B3,D10B4,D10B5,D10B6,D11A1,D11A2,D11A3,D11A4,D11A5,D11A6,D11B1,D11B2,D11B3,D11B4,D11B5,D11B6,D12A1,D12A2,D12A3,D12A4,D12A5,D12A6,D12B1,D12B2,D12B3,D12B4,D12B5,D12B6
180_9045548,180.9045548,25571.98053,12661.43351,19195.27941,15652.07518,16378.04525,9000.32524,4936.157717,10916.87339,4220.405502,7441.050175,21242.81184,27545.93693,16496.52439,23085.16845,10564.09321,18436.7622,19059.34278,5349.710458,15249.00382,9606.084063,8708.944411,8793.90476,13196.98012,7914.599929,10434.1505,8203.397501,14350.32648,13636.27635,23344.78884,14541.48393,5291.837396,4061.834545,14473.71442,10158.4493,6419.71121,33223.40356,17153.85559,11757.18347,19146.0149,12087.96614,14134.25834,7429.109874,16667.78796,10172.45085,13340.60723,7082.321067,7718.780843,11524.70671,8645.62972,7297.05728,7466.770371,8312.388352,6300.972002,6623.937368,6759.389995,2931.551436,11430.34072,11252.83613,7638.497874,31444.86122,13913.86968,9846.587611,32349.37101,24065.63292,15151.56119,6388.59925,12973.13407,15049.52007,10603.90494,9150.295836,11575.83067,15859.1563,16727.70541,20548.44389,25752.5405,10772.08634,15786.47313,7358.229156,7165.022207,3100.925996,8598.610517,12248.52559,14393.02513,32686.3989,10100.40738,11461.96821,16689.91335,14020.76538,15176.23822,7242.020131,3974.962241,6978.188132,18661.27634,6121.176395,6273.704412,24378.24842,19933.56663,33818.28216,23070.387,21480.18666,52963.93726,8719.382618,12883.27718,7739.234652,7304.048838,6361.118912,7261.460687,12496.26247,11868.25028,14434.36285,14663.35208,6517.035505,21262.78047,7633.395202,15036.25877,18134.14917,4460.02917,19238.39093,4105.755902,19898.53533,34698.60123,7000.306079,9468.723221,24374.99213,7391.128589,39683.00618,5704.668604,3128.683127,7153.005602,10049.69889,4804.637005,11957.41266,16781.00502,11740.19813,15660.69758,13442.13528,14488.57635,4914.775763,3910.723052,7001.820973,5840.16489,7404.330866,8390.044105,4340.853958,7960.888484,9815.584691,8476.986702,29126.68364,4348.419164
180_9838473,180.9838473,2447.634874,5690.896815,0,2234.671149,2612.315291,0,6520.235158,5089.008963,7590.053233,7520.040014,2610.54029,3437.336034,0,0,1877.835794,0,7894.375809,6353.687616,4162.577341,8804.649918,5048.496462,9591.270518,0,8626.382263,11857.13139,6328.358855,5337.77076,4792.78271,3784.269541,2250.941426,6946.457163,8664.840738,5455.685493,8652.610993,5836.119042,4302.427115,4469.389848,2854.948493,6480.210138,5345.11724,4313.064647,6759.035864,5707.369838,5769.543489,6181.26065,3744.507659,6326.964636,3300.822335,7338.533681,11670.63661,8827.85455,4578.339885,5317.447984,8231.742032,7774.614579,7853.569489,4636.681572,7338.797163,12588.66313,0,0,0,4512.982132,0,3950.04696,5155.177879,4400.440179,2894.929014,8598.088597,4177.2842,5250.032089,0,3629.731967,2105.55798,2493.674967,3473.762238,0,4992.160268,9954.718445,4914.348091,7976.765447,6653.211333,4538.417058,0,2099.732368,3885.333848,3763.352905,3841.162588,0,0,7445.853411,7874.191056,3493.79212,8730.218271,3343.518739,0,0,2780.457148,0,4151.30133,0,6671.28252,6393.114773,5927.94544,4696.113322,7497.810539,7313.003239,5953.897774,5245.858604,4099.520014,5637.641517,9891.14365,3691.549091,3172.972554,11740.63307,3276.064802,11225.11816,4929.787633,7877.751499,3408.941939,0,5381.007554,8208.024103,3085.647575,5880.948407,0,5994.50499,11144.11823,10048.75554,5327.617568,0,6343.168395,5184.119765,5610.286215,4549.06419,5306.300611,4158.657359,8246.981535,8062.688657,5867.75728,0,5011.784838,8747.060666,7222.633895,5156.520971,5293.364767,5293.249122,0,7573.81021
181_1079969,181.1079969,0,5030.899147,2447.188417,2503.301417,0,4020.995401,16793.8145,4548.305132,15682.13975,16098.87478,3396.191998,5782.026039,0,4609.006779,2135.278725,4869.519364,12805.4568,5203.945197,10487.69794,6614.542511,3497.150219,2193.348801,10569.33902,5628.021552,4571.04311,15481.8724,5279.984444,2155.377301,12418.11496,2452.325765,5714.079904,20178.5874,4696.733487,8688.72244,4616.361302,2304.512753,2956.267275,7681.695856,3906.989603,7123.221407,3853.464793,5258.537796,4307.449025,3409.251147,4164.785574,11942.40379,20110.49518,12025.99521,14565.98148,5246.4625,4211.533361,11925.53966,5690.137162,5929.765481,23791.0035,4840.667382,19635.49891,4267.719694,3823.731203,2626.908685,5859.19449,0,0,5742.140489,2838.773456,5596.344728,3897.052352,3638.381554,4252.072385,12762.528,5105.202922,3709.367872,0,0,0,5188.528595,5580.835908,10109.64329,3979.134033,20202.13235,3939.021638,3927.167134,13566.48323,4807.437716,0,0,5428.606245,3175.305831,5494.409428,12909.56128,4004.672393,5936.413217,4012.486747,10321.42946,7778.059109,0,4410.312557,0,3477.07887,0,0,3956.877678,6677.261638,2876.954663,12512.8681,11120.73402,18097.59805,7508.729252,3891.292767,3507.888847,4829.150224,7233.033717,3076.715813,9078.991588,4906.813302,8781.425822,5151.881166,6351.68767,7939.103435,17156.64786,4614.317855,11016.446,5181.123819,4150.19083,15846.20607,7088.913353,18163.13679,4317.175929,6378.982638,8333.921746,7700.822776,12174.38484,6175.163114,5157.527706,4311.989234,5951.917026,14492.31888,14010.49471,3834.086448,9629.382956,14172.45889,3455.561204,15297.16215,5261.611256,7030.927575,5779.095442,2723.00759,6614.39593,5398.274985
181_1090049,181.1090049,20815.46798,16773.05776,14315.16901,16980.85743,15012.00484,17176.83898,15039.95118,11549.67703,15336.62537,16377.71386,16282.66188,18634.09022,13094.26298,22511.31547,15871.81746,24079.00233,13263.87802,12384.99243,17681.62218,12736.44638,14567.45787,13412.42295,17986.51923,13269.93056,14403.67869,17342.05081,14916.33527,15888.88611,16727.31521,15214.50656,14749.6765,15261.86491,13077.69371,15601.6543,12722.65935,16808.0248,15748.87636,17542.38963,13594.0023,15304.25666,13092.09396,15037.86712,14488.15285,13966.47707,16551.04612,17095.60579,13894.80979,20613.51409,16588.06186,10711.72749,13680.80469,18769.99208,14272.50418,13669.80033,13590.43322,11412.48312,13836.12694,13324.41049,14113.5959,21374.24055,30877.44833,13903.54449,19016.03232,25343.54559,15768.64234,12152.11284,13781.88799,14438.87854,12982.40439,20172.72388,14041.23656,17557.89548,13924.24196,15931.80194,16398.12906,20387.01908,23036.96988,19168.08701,14310.09051,17704.5863,12868.48096,13678.91098,23388.48546,20252.97527,15162.42181,15554.52926,21398.50107,15437.33496,19964.99063,14217.72108,11570.011,12151.52444,15445.2019,15148.59854,14921.55165,18916.43254,22636.77693,18655.18728,21922.66239,16637.96428,20045.3583,11686.13715,12380.60095,16666.75181,16958.32666,14237.15756,21968.16563,15085.54418,15239.05835,13437.48144,14560.41605,10276.25323,14593.38874,13742.09418,15262.21444,16935.78856,10758.8762,18347.61781,14445.79728,16855.53388,19525.96575,21414.67949,11901.76232,18062.57874,20913.52968,20431.46717,12982.48405,11123.06462,11858.95104,9837.653367,12223.55919,18077.56956,17670.422,16366.37691,17601.78073,14840.62689,17973.9612,14541.56891,13714.77375,14326.13776,13319.26197,11083.82938,17595.69275,10977.05942,15716.84179,14911.46719,13291.3114,15671.9256,15078.77336
181_9742861,181.9742861,10124.2805,5528.243546,7050.907427,8093.008176,9357.389718,6496.835043,0,6963.532697,0,3687.815222,5436.615252,5984.37316,7306.460717,5640.677927,4894.419415,5160.90512,3571.503366,4239.057846,3683.559727,5415.96265,3576.49912,5512.852441,0,4895.583662,4858.251104,0,4744.503691,5289.420836,5379.647082,6314.981877,4861.020416,0,6177.51645,4270.757337,4228.010056,7730.261816,7549.547961,4169.158925,9190.063715,4276.853419,6080.991574,4826.251571,7199.443933,6072.083793,6755.636532,0,3256.18893,4443.660307,3037.558789,4285.403092,3838.762598,0,3299.004321,4531.495421,0,2617.304817,3298.410654,5312.130431,4241.962171,4904.274561,0,6405.585314,9231.339834,4754.842538,5208.159654,3553.771596,5305.785645,6278.3796,4198.792273,0,4360.436105,0,8864.311142,8521.613008,9385.581521,3965.379831,3395.347811,0,5616.175892,0,3858.333096,7345.694812,3941.495309,6459.703573,6773.618148,5830.983199,3735.452277,6307.518008,0,0,3344.630418,4073.213688,5427.230948,5018.906526,3043.970274,8804.357864,3574.06862,8072.935253,6182.288432,7725.017809,6985.719758,5053.023318,5135.925989,4523.073384,0,4097.47444,4609.902978,3548.378942,5106.196776,5831.187647,6306.148107,4441.180027,6338.545781,0,8243.986493,4758.48797,3623.600156,5379.09778,4216.916965,3899.244156,6167.091702,0,4640.253327,8655.253134,0,15831.91029,3513.718319,3924.871338,4605.442794,6438.879805,0,3273.848714,6431.08841,4372.816525,5556.034429,4101.60171,4131.865307,3495.189977,5431.271743,3610.447099,0,5166.724193,4804.778422,3996.745084,3750.871859,3826.964717,3972.056101,6194.215098,5279.776552
182_0929016,182.0929016,8076.227241,6160.341477,6235.299935,7287.414994,7355.054497,8207.830499,5528.955047,4869.227074,6380.263974,7107.616876,6905.799274,7421.549021,7026.709827,10132.29486,7413.756098,10272.768,5900.680819,5344.648077,7154.384167,5156.271947,6927.211513,5890.261281,6785.472655,5205.491558,5918.457816,5926.975016,6471.940635,7188.122045,5454.774309,6159.52185,6221.02351,6501.052819,6174.026089,6144.363162,4619.592275,7030.306546,7947.875663,6471.510646,5023.419254,5997.274985,5343.091349,6717.638176,5793.760938,8123.630815,7116.187062,6253.41431,5535.988068,7590.175206,8371.284304,6309.975195,6174.513234,7714.285541,6629.313122,4902.235927,5271.730587,5516.292631,4278.655761,5191.241946,6178.280217,8636.096652,11658.33142,6682.145154,7260.386138,9646.429893,7998.054728,4254.771852,5813.63894,6380.342317,6290.984952,8867.411018,6011.562852,7200.766791,5059.13067,6604.090891,6038.347331,7951.05329,8352.202849,6823.57126,5707.438121,6012.51428,6849.09669,6122.224883,9284.513574,6638.661309,6831.143036,7478.790931,9396.907031,8531.346579,9844.730438,7882.499201,5611.674109,4929.086623,7126.586339,7335.754217,6488.794795,7773.067693,8726.159815,7495.784538,7284.765212,6706.584018,8011.282319,5078.045715,5403.981831,7193.088612,6994.612483,5267.767701,8559.507137,6609.842753,6237.771721,6157.9308,6511.264869,4393.982185,6300.704438,5884.851053,6487.304789,5139.157713,4725.705084,8585.878059,7178.50782,6192.068314,9654.211246,7933.959468,5131.987024,7142.946004,7205.881572,7874.091034,4536.316159,5462.812624,5363.785117,5848.290089,0,7237.36836,6153.521082,7843.269798,7102.377956,5871.186482,6360.214691,4961.51405,5398.956313,4921.764922,5614.566562,4606.013682,7892.223198,5572.678871,6460.517491,7190.573519,5065.44826,6569.460182,5673.153481
182_9371044,182.9371044,7922.758196,9301.921124,9476.209091,10968.31759,14175.68964,11494.23384,10471.08022,9374.931327,13874.16007,11399.34164,7156.515676,13291.43818,9923.556469,10868.76088,27016.94391,18194.88219,33909.44906,10120.35447,13865.51656,8250.869558,17423.54578,12199.97731,10857.462,7309.173057,18038.06684,9751.990732,10056.20581,13608.62331,7527.042133,19510.48774,13622.10587,12976.184,15260.62166,10217.29684,10557.24265,12192.21288,20359.85322,11032.60576,5902.615826,9895.421391,10172.5956,14835.58572,8482.842869,20646.25275,10997.00739,10483.35555,10924.21353,12223.32369,19127.68077,23358.67368,17796.59434,15770.10602,9408.695722,10632.80677,9655.898413,29679.23875,12604.06943,12782.32135,16623.67246,15879.75188,10987.00856,34477.28135,15703.82094,9338.168984,22485.30389,9992.717902,13877.29461,12771.58194,12170.68945,14905.86731,8894.088131,20885.35143,15844.45119,9657.044078,11622.90896,15582.82985,13846.7593,16369.99601,7630.226928,9940.103491,22247.1454,14709.314,6898.998665,8923.695579,31907.84131,26919.72202,9958.304774,21370.25752,12102.78097,8723.630328,27726.07997,14802.86611,8930.937359,18794.65983,18806.7621,9534.415144,10728.58916,16565.50516,13086.77296,16613.66086,11747.24581,16904.72558,11409.83772,10030.42219,17602.5237,9141.679194,20692.20685,13726.68854,12827.40467,18153.33305,12591.89054,9933.113641,15682.81788,9271.137673,9871.406709,11194.32999,11894.8107,14866.00717,23029.04014,8840.303253,7384.905586,11895.49926,11767.59584,10684.12895,10742.89851,10787.20937,7770.76496,19579.9815,15491.19982,9403.692318,7032.056397,6383.374549,7426.861706,15049.10412,17792.69307,15215.82352,5752.244994,7473.324548,3349.207921,11479.04064,15104.63468,9242.88098,8333.724636,15175.3634,9574.094023,13395.5319,12436.656,5144.743809,5966.383651
182_9630109,182.9630109,17556.19735,103746.0548,10161.27478,11107.21506,13982.66227,7704.316168,94760.49227,49267.28617,95838.76203,65408.71578,76326.45835,28240.175,7882.200683,12798.28593,10339.74982,9881.056488,46501.77739,81468.21858,42162.29494,144456.8803,97348.70149,106078.6236,32458.82227,103381.7879,89049.73481,63358.29056,81854.36347,71491.40251,44456.51439,29724.26623,168509.463,94790.95439,69680.53592,112182.9124,121290.1163,18498.30038,45868.32345,89612.24826,48027.77873,61023.16404,121910.9796,85527.05578,79120.78411,58033.2882,65111.54146,61522.79328,95021.86743,45671.03354,62527.05871,134198.0716,124930.6443,33895.07569,165829.2441,143488.2941,131310.2318,133059.1018,90089.42289,205884.2529,108003.5827,10702.37812,7150.940317,12288.98279,23570.29409,15298.49895,21578.91319,107027.9535,69645.52031,64369.0191,111707.5826,59801.59181,105150.1178,9592.521406,14613.09651,17643.15416,16588.99124,13413.49542,21733.00927,72736.52169,83341.57256,72386.63734,101347.5946,67516.96523,39314.9399,15199.7898,19693.10779,23531.69428,11593.1521,14707.3001,9950.827182,36601.24154,104674.9167,141674.5607,71608.0331,89382.84177,43296.37551,19918.53122,13709.19251,17527.25144,13367.39768,18340.46803,10208.44174,60765.39428,168912.6587,66749.40066,65414.46598,149857.1641,72578.70622,102845.4021,92539.18184,42490.8154,88498.68053,171695.4953,57739.13977,89660.08606,131332.6075,74270.44167,251263.2073,46459.31329,163155.1685,87214.26692,35615.10383,57949.60707,113605.7988,46009.25489,77152.49058,33798.00238,74250.21642,136135.5168,162691.8611,60802.40338,147238.6207,85542.80086,107262.702,57405.60721,28066.53834,79032.66626,89824.78751,116749.3114,40804.01091,89258.63369,0,153886.4169,81416.43617,72448.41077,99746.30249,91954.41246,113140.527,29311.17711,112464.8441
182_9735267,182.9735267,2712.211754,3315.671059,3450.568389,2739.619038,3651.716146,10287.15709,12823.18719,0,7958.069929,6396.724787,3102.469369,14728.36492,3844.267731,3714.21658,8518.763923,11424.70745,9623.908293,8572.738104,10731.84422,2117.969544,4647.810691,3836.52137,18524.78582,2922.536179,5348.404773,15365.02219,2849.599536,3279.572137,8231.737342,4781.707252,3767.677975,15452.33379,2573.632384,9257.740316,2928.932487,2841.984181,5398.623179,9537.039905,0,10146.50008,3558.135971,3737.461934,2678.049542,5733.491229,3043.069883,15199.32714,14948.51048,10880.89718,17803.06637,4363.525607,4360.499702,20273.37094,4344.79797,2781.33545,13864.26955,5908.828003,8644.016402,2580.590737,5213.037853,21295.79382,17336.20657,11426.22793,3226.067121,10122.48692,4956.16722,3453.162656,3853.614061,3852.485492,3358.436985,11935.95157,2759.465084,21683.01558,3064.570218,2798.847599,2521.475341,10111.26059,21316.52563,22471.58064,3176.58304,20939.06058,6970.919843,4237.084937,7419.865585,9644.868714,6862.27676,5393.903563,9002.273256,4955.624981,18202.20739,11790.25434,5685.32972,3768.506842,3062.649297,11840.93551,5420.330236,4462.735941,13554.42283,4241.139605,8971.799623,4103.472569,7120.103052,7435.85588,3620.851622,3098.558772,23511.65939,9211.018397,15678.23007,3059.822431,3056.709295,4918.750181,3878.580515,3039.538585,3528.646136,17774.6901,2441.551055,2886.053688,3423.355584,13367.56802,5734.618384,11829.77094,2708.309006,20242.40093,3037.001731,3679.425755,16083.83103,7288.26144,15194.38121,4710.936294,3845.399856,8211.617116,0,7584.094382,2300.005325,4998.831093,14734.4334,4593.945499,2485.85539,9600.827174,5109.803493,10841.83733,18835.16892,3369.717505,2786.816734,6315.18098,4524.749173,4878.64517,3556.750527,5823.54636,2977.691149
182_9949688,182.9949688,2883.359452,5775.655371,5325.861716,2472.525005,3190.659725,0,3663.442311,0,3854.260471,5344.522686,0,2991.767857,3003.443763,3854.45533,3211.403779,4002.593839,4347.783644,4291.670699,3171.004397,2250.009233,2520.283982,2505.642841,3829.735908,2362.725354,2696.308034,2906.355778,2753.166309,3538.628224,4081.183683,3623.041079,3260.746882,3634.187462,2501.578261,4071.661946,4195.565831,0,1846.460535,3140.23933,3134.073067,3233.654977,2502.069485,2526.504822,1859.511944,3000.062785,3641.302336,3643.686974,3841.211784,0,2447.909448,2775.129107,1625.520692,3757.484368,3214.034681,3426.390282,6363.964817,3402.071855,4238.398705,3382.095531,5059.859368,2430.008998,0,4365.75058,2622.588277,0,4025.498522,3835.948379,1973.419746,4528.911291,2494.908353,3631.896268,0,6608.35395,3174.726107,2499.52303,2994.774114,3359.982736,4017.677885,0,4822.459606,3627.14419,2181.950169,4249.84693,0,0,3487.457082,3622.181846,3738.496561,4080.304027,0,0,3333.589579,3163.781256,2243.628367,4730.99101,4888.009637,14409.4666,3703.368467,2997.134636,4582.686213,1885.885921,0,4289.401157,2422.186251,2529.204836,0,3054.446766,3030.619636,5847.55611,1643.025804,2074.633896,3086.718902,2567.268835,3017.584201,3064.728144,2669.228395,2432.957543,2530.382023,2339.382537,2725.214145,2989.371441,0,3028.879341,2533.469529,2316.767132,3569.716907,0,5547.560092,2078.697845,1933.796593,0,0,0,3029.306693,2878.233882,2889.482625,2006.499301,11785.10732,4024.567302,5356.199977,3066.106654,4801.726012,2848.186991,4457.364916,3345.567492,3023.679255,3229.503578,2356.776212,3522.948471,2808.735498
183_0506867,183.0506867,5673.031514,11843.90306,44269.13445,5836.693395,3106.778012,15281.04215,17670.52362,20172.1209,10677.15871,11814.60255,8463.319502,8587.612425,0,6965.434783,6757.494747,0,9792.725665,16912.60049,11235.01549,14162.55191,13002.48719,11337.53244,9599.698237,15042.02787,5895.18654,14811.77007,13141.34055,6364.557213,8752.795505,5988.204839,14638.17497,10666.90831,6757.089101,11622.54474,19175.34171,6624.828041,4904.969913,9653.971531,21828.62264,30170.26859,13025.48041,13730.40507,9861.090656,23536.77296,11389.67043,12375.71115,15390.9418,10019.1072,21060.53519,9342.044974,8132.615719,9487.357503,16395.80989,14923.67924,17850.26929,16417.548,14418.33276,12564.95543,7422.800144,5245.880804,5328.498415,8865.913858,6248.677595,4926.248325,4234.741428,19485.99182,10252.35747,9489.281397,10476.74062,9638.568821,13486.52709,6892.195916,11920.67087,4367.511061,5459.04461,0,8081.344204,12302.21651,7651.616149,15383.03443,9881.976506,10061.83614,35046.87832,5211.863872,4472.567002,3008.910289,9548.437551,8250.701604,6108.793125,9664.622007,12234.58953,20519.86349,11353.62194,15009.94775,12251.5133,5579.425732,5304.636404,4701.783875,5426.936452,4270.648347,4941.750917,15247.27646,14003.69156,14484.59925,9273.123062,13483.47079,10727.95674,14428.31514,10969.02775,15231.17746,6841.668588,19622.28196,8184.997314,15201.79107,12790.37919,12301.26088,19701.54378,5291.566033,11266.65633,12302.15735,9093.041883,13064.67661,14348.965,9081.944699,13071.79382,8378.351154,25062.14346,15317.52235,10667.2371,10013.2852,14425.7905,12366.51793,13040.00329,10266.55225,4254.040515,8463.596495,12855.57966,14583.93036,26407.68905,12156.91383,10574.12625,13393.10434,9378.175119,16340.59123,16325.84467,15696.84776,12118.23266,7145.374025,20232.66395
183_0850225,183.0850225,21109.54275,39478.93514,31001.48908,17086.65566,22187.41879,28384.96267,19095.68756,0,19536.19292,32341.09603,20858.1604,23624.85343,0,29084.3027,22434.83794,30441.15493,21535.92166,13575.80406,30413.4193,26916.61696,18486.85433,17631.99531,0,27864.10627,27578.52874,19438.71998,22294.89466,20467.85105,19571.49819,17227.76531,17978.92255,13823.36411,16260.67015,14626.30455,14023.89584,33588.58897,21573.66218,18948.31144,0,25403.42127,14024.14021,19277.41413,16726.507,13484.75085,14279.10589,20830.95549,16540.81165,16792.82755,27359.26407,16360.97281,23084.0486,20347.34513,14288.12192,16948.59115,11516.83447,15401.68771,0,11712.54348,14158.89128,21508.20674,55244.73308,14060.63513,26881.94435,20379.02675,16106.14889,15656.2783,11417.76695,24283.27442,21108.13435,29832.64852,12722.4229,0,0,24211.01072,18373.13518,20658.4349,42014.34533,18453.90503,12309.26042,19262.03758,22954.45732,11261.67016,38533.9958,20819.52383,12431.56692,8239.329561,28968.56274,31265.00811,23308.52448,29475.72767,13901.56908,13683.80337,12859.90441,17177.77881,18240.5701,25911.3878,14890.67358,29500.83725,22399.9199,20999.01351,32850.90692,15244.56494,13949.08992,14337.45657,18911.37717,12510.73545,15619.09073,14208.90889,12146.13731,15485.61983,16499.43887,9802.341924,20980.94105,11731.47789,12080.00898,13147.22943,0,23006.20415,11179.76871,23746.78815,46359.83865,37670.51853,12694.76834,38166.42408,19852.16872,16320.62659,10731.67153,0,9588.553567,15132.68581,10695.97559,15092.91358,19708.59275,41689.05932,22347.13398,24350.16023,26410.27439,10727.56603,0,10072.70153,0,8032.721825,12349.05399,0,29032.16642,17336.09536,21460.63881,17879.9409,14683.41022
183_1245406,183.1245406,39417.62325,15976.80078,11091.57414,17294.57764,25446.79969,12154.06769,15626.71096,0,14287.8929,15649.39593,16048.93506,23554.1009,3675.025248,36198.83642,19842.88464,33436.62062,17524.66306,14536.49414,16353.8041,16994.92882,15759.47589,13648.20242,5774.329014,17531.65256,19041.06558,22239.68401,19732.14629,14210.4191,23830.72081,29003.02796,17194.76804,13244.51373,14237.73227,22259.468,11667.27966,23694.5353,31248.08496,16023.30979,6832.270414,17353.52568,18894.71835,18882.64257,26685.27667,18437.55809,24676.83373,10797.67954,11842.31628,23822.89104,19980.86533,17017.48857,21936.18905,20525.95141,9057.924411,14303.35556,17107.60779,11881.02257,4569.931965,18868.35846,20646.1734,23524.73984,16762.97325,14747.28192,38483.31743,28653.67319,25277.26097,13140.87826,17647.3304,14438.54285,19993.05805,18316.19902,9991.168683,16740.95815,14210.66986,14138.68032,23861.77134,26307.02392,22235.05489,16380.69935,15572.79024,10037.63161,14151.00247,12746.80329,16226.27334,29535.24466,24412.81902,23085.80662,19709.33267,18257.30062,24932.69509,16388.62068,16930.24972,13848.35558,16835.17891,17217.38187,13655.42412,17082.08406,31052.54621,25913.61723,39449.82764,35864.08404,18655.94398,14490.39062,16721.91876,9302.535979,13632.50629,20915.06715,23514.64871,17530.98862,19167.73342,22235.04853,19974.8504,21473.66794,17372.66154,7914.353198,22964.12807,12558.15812,9229.513894,20152.14424,20570.64431,13920.6022,16910.25178,16531.79803,21233.38381,34031.58649,19967.82859,19078.5685,17734.56225,13254.81765,19450.66766,10703.22198,16367.91296,10357.44382,23341.05836,21514.52586,32456.58024,16618.29166,21575.50593,23387.0683,17711.45218,16621.1122,6027.21918,16042.081,31724.17039,6735.675573,17315.88366,16012.89677,14616.86922,11298.72684,9453.503316
183_9638,183.9638,4584.333152,27194.75349,3063.604289,2956.921108,3822.925481,0,24356.91158,12553.5918,25696.91978,17263.24593,19367.26445,8051.82134,0,3476.599471,3124.625418,0,13210.85598,22590.64247,11597.10229,36069.15041,26693.54313,26371.21262,9319.554077,26120.81327,23623.79817,17262.53958,21567.41,18229.2684,12477.43124,7427.598418,45208.58607,23544.42125,18095.89097,29179.71255,31581.18138,4901.855599,12207.4178,22753.53131,12098.45878,16513.17429,32168.81247,22791.1401,20653.94759,16465.12464,18031.83292,16415.75992,24334.11739,11304.41098,16707.20221,33843.50417,31877.83158,9238.784967,43509.33392,37898.26505,33419.7446,35478.43395,24820.02441,52926.30472,28864.27425,3040.327541,0,4128.075857,5761.120578,4343.981379,5666.773858,26853.35481,18258.59014,17914.5274,29891.75407,14880.20106,27799.1157,0,3952.681503,4648.931383,4616.362903,3578.282617,6447.881684,17737.48368,20743.07881,19244.76285,26123.402,18791.86187,9482.581829,4252.48969,4988.86183,6047.616637,3670.552754,3712.719318,3317.111685,9629.937642,27894.04788,36420.38916,18311.51637,22155.7533,10673.6873,5324.458426,3929.90385,4155.356706,4195.310371,4798.722767,2981.681767,16321.82208,43381.12427,17251.03349,17457.59427,38962.73739,19750.23097,26795.82879,23925.10088,10811.74792,23363.50874,45329.5968,15219.50699,23260.67304,33946.0136,20016.14573,64556.22099,11831.96112,42886.14086,23928.93657,9300.546146,15627.93918,29501.861,11762.68395,20316.48043,9273.621181,19014.77031,36877.058,44245.47736,17361.43191,36634.63019,22876.53009,28619.674,15918.15807,6733.98369,20820.08382,23234.33848,30683.80038,10519.35328,23585.04836,13888.86107,40059.29149,20726.15509,19544.72649,24938.00476,24433.1867,30431.63947,7013.632086,28862.09932
184_0459875,184.0459875,2663.298239,5507.501628,2743.338715,2136.86249,2124.99128,3708.721248,5344.256775,0,5170.645598,4241.089755,4351.17337,3595.899248,0,0,2581.528224,0,3536.109148,4994.546558,3581.39885,5603.878761,4071.257785,4697.444619,3281.961159,4566.075988,3936.13886,4430.429223,3865.864832,2148.809961,3743.1082,2691.571951,5972.903242,5236.166346,2925.708749,4153.850116,5443.702488,2097.071547,2536.356772,4197.563905,4552.080512,4466.903503,4447.441101,4848.151758,3956.105997,5232.155256,4364.407398,4389.319394,5175.284435,3994.80988,3467.138046,4592.38233,4265.183409,3224.687258,4689.632923,7563.292576,5917.617963,4764.793118,4642.797183,4609.759654,4369.867012,0,0,2345.980587,2588.821704,0,1914.941723,7044.784995,3378.129263,3988.768329,4852.186838,3537.702724,4381.566981,0,2496.730862,2252.159351,2168.461012,0,0,3854.908794,3787.063616,3851.108135,4382.996608,4427.864661,0,0,2040.493094,0,2834.773014,3180.01065,0,7499.646038,4194.364291,5940.878466,3901.612134,4467.792822,3335.689332,0,0,2266.2609,0,2348.81723,0,4388.723167,5569.82387,4043.168019,4302.720088,4736.658957,4443.650329,5498.935039,4238.753731,3795.187627,2625.933993,5673.83181,3782.792383,5016.734611,6604.603114,4400.66385,7234.181995,3449.804483,6537.130747,4722.646747,3012.823896,5121.846904,5559.368985,3534.219922,5235.662264,2730.061531,4679.38866,5631.47335,4035.649211,5486.14623,0,4017.304845,5392.311508,3885.298213,2629.661432,4119.937614,5451.153488,4022.115392,6844.034393,5489.343581,0,4953.235059,3701.51625,4905.949853,4909.456954,4254.324745,5166.167354,3052.230313,6893.067451
