75_02526269	75.02526269	
77_01235688	77.01235688	
78_95837265	78.95837265	
80_9161215	80.9161215	
88_04013363	88.04013363	HMDB0000056;HMDB0000161;HMDB0000271;HMDB0001310;HMDB0031219;HMDB0062251
92_92770529	92.92770529	
94_92414748	94.92414748	HMDB0001453
102_0550047	102.0550047	
104_034937	104.034937	HMDB0000187;HMDB0001536;HMDB0003406
116_0712257	116.0712257	HMDB0000883;HMDB0001382;HMDB0002141;HMDB0003355;HMDB0013716;HMDB0015550;HMDB0168957
117_0033442	117.0033442	
117_9747926	117.9747926	
118_050495	118.050495	HMDB0000167;HMDB0000719;HMDB0001122;HMDB0003656;HMDB0004041;HMDB0031645;HMDB0060587;HMDB0061148;HMDB0061877
119_0491788	119.0491788	
122_0236901	122.0236901	
122_0712779	122.0712779	
122_9911897	122.9911897	
123_0108232	123.0108232	
127_0501267	127.0501267	
128_0348006	128.0348006	HMDB0000267;HMDB0001369;HMDB0001843;HMDB0002234;HMDB0061093;HMDB0062585
128_958413	128.958413	
130_0040009	130.0040009	
130_0498117	130.0498117	
130_0868072	130.0868072	HMDB0000172;HMDB0000557;HMDB0000687;HMDB0001645;HMDB0001901;HMDB0003640;HMDB0013773;HMDB0029168;HMDB0031641;HMDB0033923;HMDB0036382;HMDB0060650;HMDB0061716;HMDB0240479
131_0450664	131.0450664	
131_0894885	131.0894885	HMDB0032303;HMDB0032304
132_0112783	132.0112783	
132_0847729	132.0847729	
132_9451895	132.9451895	
132_981378	132.981378	
134_0460373	134.0460373	HMDB0000123;HMDB0014691;HMDB0029389;HMDB0031239
134_9147671	134.9147671	
134_9595959	134.9595959	
135_0286584	135.0286584	
136_9311493	136.9311493	
144_0653453	144.0653453	
144_9980713	144.9980713	
145_0606808	145.0606808	
145_0970189	145.0970189	
145_0976358	145.0976358	HMDB0000182;HMDB0003405;HMDB0012114;HMDB0012115;HMDB0014730;HMDB0142894
145_9977069	145.9977069	
146_0638797	146.0638797	
146_9962676	146.9962676	HMDB0000300;HMDB0003905;HMDB0033156;HMDB0060741;HMDB0060760
147_0437732	147.0437732	
147_0478974	147.0478974	HMDB0031653;HMDB0031717;HMDB0032271;HMDB0032410;HMDB0032495;HMDB0036193;HMDB0037619;HMDB0038299;HMDB0039653;HMDB0039807;HMDB0040413;HMDB0041306;HMDB0059843;HMDB0061876
148_0424661	148.0424661	
148_0432248	148.0432248	HMDB0000696;HMDB0014997;HMDB0033951
148_9786927	148.9786927	
150_9466688	150.9466688	
150_9475443	150.9475443	
152_0018275	152.0018275	HMDB0000996
152_9436229	152.9436229	
152_9944598	152.9944598	
154_0610817	154.0610817	
155_0577315	155.0577315	
155_0641498	155.0641498	
155_0650606	155.0650606	
156_0418612	156.0418612	
156_0764963	156.0764963	
156_0773533	156.0773533	
156_9635479	156.9635479	
157_0351737	157.0351737	
157_9837807	157.9837807	
157_9927395	157.9927395	
158_9770758	158.9770758	
158_9884475	158.9884475	HMDB0042033
159_0760182	159.0760182	
160_0142757	160.0142757	
160_0151752	160.0151752	
160_0600362	160.0600362	
160_0609919	160.0609919	HMDB0000510;HMDB0029387;HMDB0029423;HMDB0029615;HMDB0033747;HMDB0036458;HMDB0061715;HMDB0062557;HMDB0062660;HMDB0094716
161_009125	161.009125	HMDB0002070;HMDB0060466
161_0110051	161.0110051	
161_0118939	161.0118939	HMDB0000262;HMDB0002024;HMDB0004181;HMDB0029736;HMDB0031852;HMDB0040141;HMDB0040143
161_9923944	161.9923944	
162_963925	162.963925	
162_964806	162.964806	
